dataset,split,test_crps,rmse,nll
kin8nm,0,0.039666593074798584,0.07335081945342196,-1.2313002347946167
kin8nm,1,0.04075990617275238,0.0778396042761577,-1.2073405981063843
kin8nm,2,0.03752773255109787,0.06792801932819685,-1.2539581060409546
kin8nm,3,0.038430579006671906,0.07048074805175769,-1.2486885786056519
kin8nm,4,0.03865280747413635,0.07143943421431136,-1.2512073516845703
kin8nm,5,0.04065275937318802,0.07683174707557118,-1.224514126777649
kin8nm,6,0.03959304094314575,0.07474924590235148,-1.239850401878357
kin8nm,7,0.03661913797259331,0.06655930663673561,-1.2897964715957642
kin8nm,8,0.03947971388697624,0.07208519719873295,-1.2158031463623047
kin8nm,9,0.03966395556926727,0.07456673119958934,-1.2365010976791382
kin8nm,10,0.03974683955311775,0.07332797748149288,-1.217659592628479
kin8nm,11,0.0396503284573555,0.07461870182618754,-1.2262858152389526
kin8nm,12,0.04074905067682266,0.07590138876768054,-1.183739423751831
kin8nm,13,0.036806851625442505,0.06850277641575402,-1.2926685810089111
kin8nm,14,0.04013952240347862,0.07711213803099698,-1.221803903579712
kin8nm,15,0.040104445070028305,0.07508385435943067,-1.225712537765503
kin8nm,16,0.038213618099689484,0.07105943852668431,-1.2511181831359863
kin8nm,17,0.03880244120955467,0.07196343555676371,-1.2415179014205933
kin8nm,18,0.039217568933963776,0.07357032069347669,-1.244614601135254
kin8nm,19,0.037797603756189346,0.07065766767410772,-1.2615832090377808
bostonHousing,0,1.5508168935775757,2.6688886762765924,2.570056438446045
bostonHousing,1,1.7393908500671387,2.924165531686204,2.7085320949554443
bostonHousing,2,1.7131832838058472,2.8580934748275904,2.6440930366516113
bostonHousing,3,1.83700692653656,2.8726030392007167,2.7190768718719482
bostonHousing,4,2.2624900341033936,4.9302150244566345,2.7379252910614014
bostonHousing,5,1.6293532848358154,2.5988796020895673,2.625365734100342
bostonHousing,6,1.4665312767028809,2.102471250865936,2.5491926670074463
bostonHousing,7,2.0253584384918213,4.408715390317487,2.706495523452759
bostonHousing,8,2.2694432735443115,4.404997735602049,2.7740769386291504
bostonHousing,9,2.3376007080078125,5.896769347101017,2.728398084640503
bostonHousing,10,2.2537119388580322,4.423059096029328,2.783876895904541
bostonHousing,11,1.6079739332199097,3.427969604419748,2.472060441970825
bostonHousing,12,1.7620583772659302,3.148710253238633,2.615285634994507
bostonHousing,13,2.021941661834717,4.160936280671878,2.691333293914795
bostonHousing,14,1.8657400608062744,3.3094198913699393,2.7018582820892334
bostonHousing,15,1.7133251428604126,2.9191700863815897,2.6336820125579834
bostonHousing,16,1.9961578845977783,3.7572093328866267,2.698099374771118
bostonHousing,17,1.895222783088684,3.4353596352739304,2.666017770767212
bostonHousing,18,1.7919135093688965,3.341830406711885,2.598599672317505
bostonHousing,19,2.603248357772827,5.79985130382533,2.8919897079467773
wine-quality-red,0,0.3490610718727112,0.6311097961939663,0.9971087574958801
wine-quality-red,1,0.3508870005607605,0.6341491287712111,0.9746271371841431
wine-quality-red,2,0.37940362095832825,0.7035040575397119,1.089064598083496
wine-quality-red,3,0.34396329522132874,0.6053073298716479,1.0147253274917603
wine-quality-red,4,0.3187398612499237,0.5688012624002953,0.9173641204833984
wine-quality-red,5,0.3595498502254486,0.6562820381336739,1.0058103799819946
wine-quality-red,6,0.38419193029403687,0.6946678387754964,1.0940150022506714
wine-quality-red,7,0.3692440986633301,0.6961951065339708,1.0291924476623535
wine-quality-red,8,0.3421398997306824,0.6210793307567943,1.0166951417922974
wine-quality-red,9,0.3570398986339569,0.6429850904165909,0.9942060708999634
wine-quality-red,10,0.35881510376930237,0.6582119768492664,1.001513957977295
wine-quality-red,11,0.36601558327674866,0.6525390698074116,1.0430618524551392
wine-quality-red,12,0.34797605872154236,0.6413683881283156,1.0070570707321167
wine-quality-red,13,0.34162789583206177,0.6239491449824803,1.0005347728729248
wine-quality-red,14,0.3522147834300995,0.6350121356900816,1.017653465270996
wine-quality-red,15,0.3223770260810852,0.5755211986926085,0.9573688507080078
wine-quality-red,16,0.3431554138660431,0.626182962511008,0.94964998960495
wine-quality-red,17,0.3460770547389984,0.6325588188791712,0.9679323434829712
wine-quality-red,18,0.3495337665081024,0.6379542854532292,0.9845932126045227
wine-quality-red,19,0.3533845841884613,0.6355658314415293,1.0162979364395142
power-plant,0,2.264078378677368,4.343093273548158,2.9115538597106934
power-plant,1,2.1320040225982666,3.8842581623210393,2.7857000827789307
power-plant,2,2.2271978855133057,4.204337133172139,2.811868190765381
power-plant,3,2.2615699768066406,4.328171932916227,2.8163700103759766
power-plant,4,2.322265148162842,4.33763119721769,2.8529539108276367
power-plant,5,2.2357077598571777,4.2020185070619815,2.820516586303711
power-plant,6,2.193326234817505,4.020290647789062,2.8099095821380615
power-plant,7,2.2107088565826416,4.0015792113479876,2.8147995471954346
power-plant,8,2.2340450286865234,4.292652399626999,2.842966318130493
power-plant,9,2.2948195934295654,4.188087763743889,2.857133626937866
power-plant,10,2.2308740615844727,4.087354250301294,2.8470654487609863
power-plant,11,2.3098995685577393,4.3561989210683425,2.8779048919677734
power-plant,12,2.171133518218994,4.029777080343371,2.7932655811309814
power-plant,13,2.2949891090393066,4.249255620056878,2.861158609390259
power-plant,14,2.2300033569335938,4.078856420879318,2.827406167984009
power-plant,15,2.188886880874634,3.9967567885681174,2.805187463760376
power-plant,16,2.1662962436676025,4.010682147598149,2.82071590423584
power-plant,17,2.237975597381592,4.095670293368051,2.8283629417419434
power-plant,18,2.226165771484375,4.267844939456692,2.8199849128723145
power-plant,19,2.2595858573913574,4.381126691576778,2.855787515640259
concrete,0,3.589047908782959,6.563919349858384,3.3403983116149902
concrete,1,3.5483202934265137,6.448607112501602,3.301362991333008
concrete,2,3.42502760887146,6.247887521412706,3.2568423748016357
concrete,3,3.6160640716552734,6.618139493484903,3.309750556945801
concrete,4,3.840886116027832,6.739419910585863,3.3984594345092773
concrete,5,3.5822737216949463,6.5392748434758134,3.3268017768859863
concrete,6,3.8021578788757324,6.96096544870231,3.3660731315612793
concrete,7,3.4113340377807617,6.089018407930719,3.2928218841552734
concrete,8,3.6025190353393555,6.711080174378309,3.3235836029052734
concrete,9,3.3858017921447754,5.968875264555972,3.3061938285827637
concrete,10,3.262685775756836,5.686493836996847,3.2953131198883057
concrete,11,3.370119571685791,6.085177451236497,3.2643048763275146
concrete,12,3.3430428504943848,6.263904211566432,3.237870931625366
concrete,13,3.3246898651123047,5.872560359795663,3.2693979740142822
concrete,14,3.769545316696167,7.231733000375546,3.325502395629883
concrete,15,3.2771003246307373,6.071031368309671,3.246446371078491
concrete,16,3.9845542907714844,7.264032398538137,3.4200918674468994
concrete,17,3.613631010055542,7.022230543193367,3.314945936203003
concrete,18,3.933309555053711,7.359061135242479,3.3854432106018066
concrete,19,3.6166927814483643,7.057715761924891,3.2793891429901123
yacht,0,1.187227725982666,3.015339734119226,1.9781161546707153
yacht,1,1.394778847694397,3.329313970242394,2.1720685958862305
yacht,2,1.1831871271133423,2.9846962960534684,1.9209567308425903
yacht,3,1.6577891111373901,3.002378951021931,2.2937495708465576
yacht,4,1.6162999868392944,4.565687137627401,2.1746957302093506
yacht,5,1.3500120639801025,3.353661366818877,2.016249418258667
yacht,6,1.1949087381362915,2.888622518224804,1.9873039722442627
yacht,7,1.7771204710006714,5.761728350097934,2.0782763957977295
yacht,8,1.3055444955825806,2.4410254585848197,2.099219799041748
yacht,9,0.9511427879333496,1.8666808266897368,1.881098985671997
yacht,10,2.2200984954833984,4.615146347155641,2.446863889694214
yacht,11,1.4023313522338867,3.4254822551605666,2.1324050426483154
yacht,12,1.587227702140808,3.969464215270247,2.1637473106384277
yacht,13,1.5575191974639893,3.0459284950624976,2.2493948936462402
yacht,14,1.4537240266799927,3.4707652243670677,2.142672538757324
yacht,15,1.1309176683425903,2.2690785361930215,1.9203938245773315
yacht,16,1.3607217073440552,2.937192860231238,2.149907112121582
yacht,17,1.235330581665039,3.0601721499519123,1.9424009323120117
yacht,18,1.3375723361968994,3.218082988477385,2.001464605331421
yacht,19,1.7534788846969604,4.451659701013536,2.1092405319213867
naval-propulsion-plant,0,0.0008339234627783298,0.0016826071256445976,-5.115646839141846
naval-propulsion-plant,1,0.0008357937331311405,0.0017802264928325508,-5.156007766723633
naval-propulsion-plant,2,0.0009736085776239634,0.0021741125505954366,-5.079351902008057
naval-propulsion-plant,3,0.0008238429436460137,0.0016989167933162028,-5.147793292999268
naval-propulsion-plant,4,0.0008269384852610528,0.0016875622059239483,-5.135034561157227
naval-propulsion-plant,5,0.0008166175684891641,0.0016921869126765804,-5.174930572509766
naval-propulsion-plant,6,0.0008185449405573308,0.0016970510527888985,-5.192574977874756
naval-propulsion-plant,7,0.0008395337499678135,0.0017324129859977561,-5.1494245529174805
naval-propulsion-plant,8,0.0008357040933333337,0.001739557047335352,-5.171686172485352
naval-propulsion-plant,9,0.0008082340937107801,0.0016526100026819765,-5.142622947692871
naval-propulsion-plant,10,0.0008629403891973197,0.0018155960365704793,-5.206071853637695
naval-propulsion-plant,11,0.0008231551037169993,0.0017907198405937006,-5.190525531768799
naval-propulsion-plant,12,0.0008334966842085123,0.0016441777377412111,-5.100279808044434
naval-propulsion-plant,13,0.0009545914363116026,0.0021357444227275177,-5.1092352867126465
naval-propulsion-plant,14,0.000793128099758178,0.0016870558632398475,-5.216559410095215
naval-propulsion-plant,15,0.0007884420338086784,0.0016382802853309078,-5.169322490692139
naval-propulsion-plant,16,0.0009225424146279693,0.0020165707827079654,-5.110795021057129
naval-propulsion-plant,17,0.0008913493365980685,0.0018245133765720613,-5.06646203994751
naval-propulsion-plant,18,0.0010323027381673455,0.0024195863894317976,-5.145451068878174
naval-propulsion-plant,19,0.0008736334275454283,0.0018245561212612066,-5.108101844787598
