dataset,split,crps,rmse,nll
kin8nm,0,0.03861696273088455,0.0703319549136395,-1.2833353281021118
kin8nm,1,0.03783458471298218,0.06917892731346365,-1.2957297563552856
kin8nm,2,0.03508372604846954,0.06364457929063048,-1.3628816604614258
kin8nm,3,0.03616775944828987,0.06502582684579324,-1.3313285112380981
kin8nm,4,0.035098716616630554,0.06358085647480162,-1.371778964996338
kin8nm,5,0.03840718790888786,0.06999679725740922,-1.2861586809158325
kin8nm,6,0.037086088210344315,0.06872034137560687,-1.312056064605713
kin8nm,7,0.03574998304247856,0.06423162199062814,-1.3488295078277588
kin8nm,8,0.0363619439303875,0.06645024819518791,-1.3443149328231812
kin8nm,9,0.03558214008808136,0.06525857456570192,-1.360366702079773
kin8nm,10,0.036641914397478104,0.06678171459843239,-1.3319358825683594
kin8nm,11,0.035402439534664154,0.06405459361017714,-1.34283447265625
kin8nm,12,0.038010068237781525,0.06861621426927257,-1.2823925018310547
kin8nm,13,0.03516130894422531,0.06400667162460111,-1.3672250509262085
kin8nm,14,0.03687480092048645,0.06760457422589639,-1.3275465965270996
kin8nm,15,0.035046450793743134,0.06329643661857601,-1.3680824041366577
kin8nm,16,0.034985754638910294,0.06424035730947762,-1.378839373588562
kin8nm,17,0.03550991415977478,0.06454112446701193,-1.359169363975525
kin8nm,18,0.03666836768388748,0.06629156981240739,-1.3122987747192383
kin8nm,19,0.0359831228852272,0.0661755896486094,-1.3560636043548584
bostonHousing,0,1.1137644052505493,2.2704189750765598,2.051417350769043
bostonHousing,1,1.677166223526001,2.99177520540894,2.5727314949035645
bostonHousing,2,1.4030466079711914,2.5001383743138206,2.366154670715332
bostonHousing,3,1.4821029901504517,2.578129253961926,2.4157936573028564
bostonHousing,4,1.4998059272766113,3.37988944329926,2.2484138011932373
bostonHousing,5,1.3637974262237549,2.4972814083570225,2.2525761127471924
bostonHousing,6,1.1030356884002686,1.9764965182060688,2.130838394165039
bostonHousing,7,1.3048808574676514,2.8515119992317577,2.239260196685791
bostonHousing,8,1.7067627906799316,3.1213326869976425,2.6400914192199707
bostonHousing,9,2.1117773056030273,5.465749735033212,2.547593832015991
bostonHousing,10,1.8943859338760376,3.5589013914085244,2.6078336238861084
bostonHousing,11,1.0004546642303467,1.8142980667397477,1.9972803592681885
bostonHousing,12,1.419165849685669,2.5757494530235228,2.3545889854431152
bostonHousing,13,1.8395313024520874,3.753331929393481,2.5580875873565674
bostonHousing,14,1.1695172786712646,2.176169122883514,2.0863559246063232
bostonHousing,15,1.1468645334243774,2.143322324215314,2.091553211212158
bostonHousing,16,2.078425884246826,3.6901074258937543,2.986342191696167
bostonHousing,17,1.6487812995910645,3.3081238828477355,2.643296241760254
bostonHousing,18,1.3725073337554932,2.5771338204753156,2.231214761734009
bostonHousing,19,2.228846311569214,4.89558135121432,2.653585433959961
wine-quality-red,0,0.35348138213157654,0.6540111316351843,0.8444965481758118
wine-quality-red,1,0.3530995547771454,0.6375714308793137,0.8553788065910339
wine-quality-red,2,0.39405322074890137,0.7299208192471652,1.4156728982925415
wine-quality-red,3,0.33234572410583496,0.6297059986435788,0.7350229620933533
wine-quality-red,4,0.31159499287605286,0.5782329613170474,0.6719157695770264
wine-quality-red,5,0.3544676899909973,0.654593033450603,0.8770872950553894
wine-quality-red,6,0.3716336786746979,0.6940164595597916,0.8114351630210876
wine-quality-red,7,0.39018091559410095,0.7034949071397509,1.1055735349655151
wine-quality-red,8,0.318608820438385,0.5759780299082963,0.7528583407402039
wine-quality-red,9,0.35950106382369995,0.6560101070628552,1.0279645919799805
wine-quality-red,10,0.3586563766002655,0.6508393214809535,0.9819394946098328
wine-quality-red,11,0.3677573502063751,0.6469623838364915,0.9670063257217407
wine-quality-red,12,0.3502520024776459,0.658949612626019,0.9654287695884705
wine-quality-red,13,0.33607110381126404,0.6161053743941913,0.8288000226020813
wine-quality-red,14,0.33066651225090027,0.6182811559870343,0.8504427075386047
wine-quality-red,15,0.31641578674316406,0.5699806031473779,0.775377094745636
wine-quality-red,16,0.33029213547706604,0.6176669757200286,0.7012767791748047
wine-quality-red,17,0.33290714025497437,0.6085129533641221,0.8448143005371094
wine-quality-red,18,0.34891176223754883,0.6289589427411401,0.8952364921569824
wine-quality-red,19,0.35045212507247925,0.6401895811134066,0.9303364157676697
power-plant,0,1.9963769912719727,3.9227263601814992,2.6607391834259033
power-plant,1,1.8116620779037476,3.3639096903523127,2.566315174102783
power-plant,2,1.9349795579910278,3.771609920109095,2.619232177734375
power-plant,3,2.0829107761383057,4.138787549262427,2.690730094909668
power-plant,4,2.163675308227539,4.072881257796783,2.759053945541382
power-plant,5,1.9458571672439575,3.8077525613518333,2.6415412425994873
power-plant,6,1.9908778667449951,3.7056316149326527,2.6611998081207275
power-plant,7,1.965141773223877,3.625479830850842,2.646479606628418
power-plant,8,2.027348279953003,4.030296981886947,2.6936583518981934
power-plant,9,1.953550934791565,3.642926581439542,2.662937879562378
power-plant,10,1.9710283279418945,3.7046105346665,2.643369674682617
power-plant,11,2.04538631439209,3.9932425163101954,2.6784088611602783
power-plant,12,1.878944754600525,3.509397017154262,2.6031737327575684
power-plant,13,2.0400888919830322,3.8874950151319525,2.6926980018615723
power-plant,14,2.0101325511932373,3.744054786362792,2.674682140350342
power-plant,15,1.9866966009140015,3.640347449729014,2.6654562950134277
power-plant,16,1.916325569152832,3.6422700889777535,2.635849714279175
power-plant,17,1.9023845195770264,3.586302495594144,2.6246137619018555
power-plant,18,1.9712034463882446,3.863721862907724,2.6369941234588623
power-plant,19,2.1059045791625977,4.238413556402638,2.7060232162475586
concrete,0,3.0998072624206543,5.671004299452108,3.5110745429992676
concrete,1,2.8940656185150146,5.4165123355104905,3.1495556831359863
concrete,2,2.2391512393951416,4.179241862560286,2.8883283138275146
concrete,3,3.1591317653656006,5.804552120308923,3.1985888481140137
concrete,4,3.7412538528442383,6.909964688731175,3.449322462081909
concrete,5,2.5194363594055176,5.024894918225553,2.8981213569641113
concrete,6,3.640580654144287,6.883649344344788,3.2814900875091553
concrete,7,2.6556220054626465,5.482980751984795,3.0812649726867676
concrete,8,2.7201313972473145,4.882711913026443,3.144973039627075
concrete,9,2.731487512588501,4.797340792925981,3.127535343170166
concrete,10,2.25852370262146,4.18867498965309,2.8747363090515137
concrete,11,2.7677319049835205,5.46337975721824,3.019803524017334
concrete,12,2.5565991401672363,5.054207308805777,2.895869016647339
concrete,13,3.0008010864257812,5.620604768841988,3.049241781234741
concrete,14,3.248650074005127,6.326425733946355,3.187199115753174
concrete,15,2.611609935760498,5.016192537801349,2.904651165008545
concrete,16,3.0642995834350586,5.7028270068766185,3.225219249725342
concrete,17,2.7694613933563232,5.511693834103854,3.1754603385925293
concrete,18,2.8139126300811768,5.69118841274091,2.96700382232666
concrete,19,2.752436876296997,5.968661801949804,3.159024715423584
yacht,0,0.2651776969432831,0.8494476164371946,-0.2219405323266983
yacht,1,0.500173807144165,1.526737727062018,0.5993674993515015
yacht,2,0.09036885201931,0.2018182148949737,-0.7294455766677856
yacht,3,0.35638779401779175,0.9541592224252705,0.39106374979019165
yacht,4,0.2583828270435333,0.7122895097174561,0.14952822029590607
yacht,5,0.28170159459114075,0.9996825846926548,0.054220736026763916
yacht,6,0.14781175553798676,0.3160843565785421,-0.18000571429729462
yacht,7,0.1349455565214157,0.25180797683808076,-0.23890341818332672
yacht,8,0.15934598445892334,0.4031207165749259,-0.3445543050765991
yacht,9,0.18813784420490265,0.4991377160296097,-0.0523829385638237
yacht,10,0.32939547300338745,0.8385362960611853,0.25562092661857605
yacht,11,0.4729025065898895,1.7319126004198837,0.22572971880435944
yacht,12,0.4662530720233917,1.5248058727089269,0.22464334964752197
yacht,13,0.4108770787715912,1.1432084912260387,0.3637877404689789
yacht,14,0.3522554039955139,1.011631435323383,0.26712921261787415
yacht,15,0.20896293222904205,0.6157653212985651,-0.2045612931251526
yacht,16,0.2461109459400177,0.8264557551375892,-0.3278857469558716
yacht,17,0.3510035276412964,1.0476835743685438,0.19616451859474182
yacht,18,0.6033825278282166,1.8073056868156847,0.3528457581996918
yacht,19,0.6385286450386047,1.7170494683615078,0.5563376545906067
