dataset,split,rmse,nll
kin8nm,0,0.0692543968116226,-1.3368510910799192
kin8nm,1,0.06937383059121692,-1.341851117402579
kin8nm,2,0.0692987467868541,-1.3491554476655276
kin8nm,3,0.07083361561991061,-1.3160095464183883
kin8nm,4,0.07063880264985328,-1.3335408987592758
kin8nm,5,0.06754423715056183,-1.3605012552645472
kin8nm,6,0.06881299127132097,-1.3392860728938725
kin8nm,7,0.06823138753165818,-1.3583414763864035
kin8nm,8,0.0721138616324831,-1.328382109961039
kin8nm,9,0.06839704982013727,-1.3351811030131226
kin8nm,10,0.06872694858889344,-1.359934655647961
kin8nm,11,0.07178286277831779,-1.2978169844914853
kin8nm,12,0.06903973171952896,-1.3410535838315436
kin8nm,13,0.06940895800349724,-1.3185019884106222
kin8nm,14,0.06768690002479533,-1.3520385683413996
kin8nm,15,0.06814422672462232,-1.3831686161732426
kin8nm,16,0.0702157398467769,-1.301570552575646
kin8nm,17,0.07133523351510834,-1.3210661298917108
kin8nm,18,0.06931575175272445,-1.37376196861737
kin8nm,19,0.06975668559360472,-1.3250477577668112
bostonHousing,0,4.047458095996695,2.4742014453695327
bostonHousing,1,4.315988708242128,2.8769418186193296
bostonHousing,2,2.9312164817753628,2.3589060985957926
bostonHousing,3,2.017176779264892,2.0150342038330815
bostonHousing,4,2.9549601662063565,2.2874897023753675
bostonHousing,5,3.1308292304895393,2.601780692740707
bostonHousing,6,3.7411402952969732,2.418381872291846
bostonHousing,7,2.6437607181816367,2.367503425150809
bostonHousing,8,3.7165304254515372,2.581268750492532
bostonHousing,9,2.2710405624938517,2.269292362873526
bostonHousing,10,2.2568280271410015,2.1279907916362806
bostonHousing,11,2.8267190624203944,2.344332314725622
bostonHousing,12,4.487071466753614,2.2697481670917234
bostonHousing,13,3.8242991369175257,2.506070054386341
bostonHousing,14,4.101281209313478,2.6216449177733727
bostonHousing,15,3.6172373682945014,2.464817126884891
bostonHousing,16,4.684155462353177,2.7939020994384283
bostonHousing,17,3.628323180143742,2.592671671872876
bostonHousing,18,2.763361588341099,2.5068568224235617
