dataset,split,rmse,nll
kin8nm,0,0.06594498569356794,-1.3662054441005138
kin8nm,1,0.06833319613060498,-1.314105865612638
kin8nm,2,0.06456001258502797,-1.364842826917894
kin8nm,3,0.06357455316098452,-1.377238385918833
kin8nm,4,0.06493036483012131,-1.360516504451352
kin8nm,5,0.06667688583949628,-1.3377552937745287
kin8nm,6,0.0664165033841432,-1.3768037023864823
kin8nm,7,0.06339718667771094,-1.398500497358571
kin8nm,8,0.0655670077111231,-1.3740264639134985
kin8nm,9,0.0648764199591161,-1.4002439309530825
kin8nm,10,0.06517589568684082,-1.3478502281761464
kin8nm,11,0.06557316579188673,-1.3744917138748298
kin8nm,12,0.06870619712467152,-1.306444433833867
kin8nm,13,0.06281514953959605,-1.4125062386966778
kin8nm,14,0.06828185539747228,-1.3437465867295129
kin8nm,15,0.06427512222328186,-1.367176965139633
kin8nm,16,0.06290579956882748,-1.3846938715179056
kin8nm,17,0.06444869749443621,-1.3670051137281647
kin8nm,18,0.0667329064156487,-1.3456443048965998
kin8nm,19,0.06341969336236081,-1.3945496211825095
bostonHousing,0,2.4584423676312634,2.2783337456844377
bostonHousing,1,2.8492176392088053,2.397352123962129
bostonHousing,2,2.385176930111137,2.2175344206328576
bostonHousing,3,2.2888720666693083,2.6672217000110465
bostonHousing,4,4.8540035824138865,2.3075867872885727
bostonHousing,5,2.4105595910637616,2.1420364718360094
bostonHousing,6,2.070470359022928,2.1947702325023486
bostonHousing,7,3.790585560687624,2.7281578729321136
bostonHousing,8,3.438810778745887,2.710729166173534
bostonHousing,9,4.974943042655992,2.524340052286227
bostonHousing,10,3.439255596450316,2.7165306717459807
bostonHousing,11,3.4024903386046166,2.0158924305185244
bostonHousing,12,2.318558188958642,2.1891120765671315
bostonHousing,13,4.4588111191655635,2.4979131342215624
bostonHousing,14,2.2598824248356046,2.2269613030536455
bostonHousing,15,2.4102783519896516,2.199722510399157
bostonHousing,16,3.8497936213969695,2.7891445294500605
bostonHousing,17,3.0440109783212397,2.533892456287902
bostonHousing,18,2.6985477520015064,2.237319008310635
bostonHousing,19,5.9846352971587065,2.6943313848629598
wine-quality-red,0,0.6436186354043623,0.9438498115429196
wine-quality-red,1,0.6265611960439561,0.9812578021386708
wine-quality-red,2,0.7158737352981375,1.104155753304507
wine-quality-red,3,0.6160228694317101,0.884450527846291
wine-quality-red,4,0.5834262625421165,0.7863046401570575
wine-quality-red,5,0.6389265821928767,0.9651260170116231
wine-quality-red,6,0.7059164905811739,0.9787651658318115
wine-quality-red,7,0.702473841816076,1.107375207858715
wine-quality-red,8,0.639603375319719,0.9758420852402135
wine-quality-red,9,0.6429323846216676,0.9453442507731715
wine-quality-red,10,0.6723466114842349,0.9871929993406422
wine-quality-red,11,0.6472063512958858,0.9902139125882531
wine-quality-red,12,0.666049364198427,0.9851396320526937
wine-quality-red,13,0.6036590394056205,1.2415756735432264
wine-quality-red,14,0.619633186028798,0.907699054664703
wine-quality-red,15,0.5675491695194129,0.8741326898609023
wine-quality-red,16,0.6027078560230916,0.8379581729702208
wine-quality-red,17,0.6228917047166186,0.8840789384582445
wine-quality-red,18,0.6191454317177346,0.8944353324473194
wine-quality-red,19,0.6249596908587579,0.8627454803454377
power-plant,0,3.9089454504172694,2.957844196815031
power-plant,1,3.557649984165996,2.6372725550266134
power-plant,2,3.765131577437194,2.6405670017901026
power-plant,3,3.9836474500793444,2.9968240791364726
power-plant,4,4.122111540985418,2.823117412031938
power-plant,5,4.010357294547824,2.7624490051988424
power-plant,6,3.7528478281509816,2.7372276317496467
power-plant,7,3.5384111853793683,2.632600776974115
power-plant,8,4.087179138729973,2.797635003609792
power-plant,9,3.8011796393972523,2.708919259333633
power-plant,10,3.656471951816184,2.6292162363038782
power-plant,11,4.017690802014628,2.807749876623435
power-plant,12,3.708789952968747,2.703936665335959
power-plant,13,3.8855133831262028,2.714097251281078
power-plant,14,3.7308917791963965,2.724143714003811
