dataset,split,rmse,nll
kin8nm,0,0.07818755583627715,-1.1567063930736956
kin8nm,1,0.08354868536396608,-1.1230101413149027
kin8nm,2,0.0758120794605686,-1.1431390967651798
kin8nm,3,0.07674883427949364,-1.184213527140267
kin8nm,4,0.07429189479163863,-1.139549156552659
kin8nm,5,0.07959669669337685,-1.1401247387716862
kin8nm,6,0.07973994784696257,-1.1899430954141692
kin8nm,7,0.07442527031295443,-1.167224091196718
kin8nm,8,0.08011232757531135,-1.133787283951718
kin8nm,9,0.07313503694753216,-1.2088826407480098
kin8nm,10,0.07700537893534964,-1.1221399959281328
kin8nm,11,0.08207192032076417,-1.0963194491935853
kin8nm,12,0.08330109339679048,-1.0624571481391316
kin8nm,13,0.07210012509792782,-1.1980904233112488
kin8nm,14,0.08287823293620666,-1.153317343340591
kin8nm,15,0.07420029986383492,-1.1828765763341482
kin8nm,16,0.07817294493409242,-1.17309572300884
kin8nm,17,0.0772939549278661,-1.129366566426098
kin8nm,18,0.0781798629891769,-1.1329087519714784
kin8nm,19,0.07306938521708808,-1.2477606618458155
bostonHousing,0,2.279065488507889,2.071609307461909
bostonHousing,1,2.7332782237821753,2.428772011235705
bostonHousing,2,2.490371007799375,2.2694917165083077
bostonHousing,3,2.5113107473115313,2.4576077136877483
bostonHousing,4,4.925513707866921,2.289977896310747
bostonHousing,5,2.9035792046853617,2.368499417707404
bostonHousing,6,2.2731187852066856,2.2098766092815043
bostonHousing,7,4.155976699075738,2.440676267787179
bostonHousing,8,3.3878904259916753,3.0167344000125786
bostonHousing,9,6.370754397798456,2.7743110570894562
bostonHousing,10,4.004973382596686,2.9098479318583337
bostonHousing,11,4.326169864643751,2.1621285717623513
bostonHousing,12,2.65918402490828,2.2542143465068043
bostonHousing,13,4.369942838600501,2.3766898319743537
bostonHousing,14,2.777652365195756,2.413896748490788
bostonHousing,15,2.663026257405732,2.3226324725239373
bostonHousing,16,3.5809424418470783,2.744630983087332
bostonHousing,17,3.2061888002055454,2.3169761490638923
bostonHousing,18,2.9973397499398495,2.421285615034677
bostonHousing,19,6.157447261479721,2.8068104153095708
wine-quality-red,0,0.6435717985906292,-3.9811616796679448
wine-quality-red,1,0.6493737512608313,-3.776781600513532
wine-quality-red,2,0.7369450483201534,-3.7970425451445524
wine-quality-red,3,0.6414022010435217,-3.796715063085435
wine-quality-red,4,0.562520848141203,-4.102777794329173
wine-quality-red,5,0.6411132563199298,-3.5876074173903323
wine-quality-red,6,0.695520638029104,-3.471890625577972
wine-quality-red,7,0.696220406126185,-3.5721759638683075
wine-quality-red,8,0.6144823281468356,-3.655059171392416
wine-quality-red,9,0.6619192867189084,-3.0640342307902944
wine-quality-red,10,0.6679404611602119,-4.01137248691034
wine-quality-red,11,0.6395828188257017,-3.6894465935769136
wine-quality-red,12,0.6823577686259213,-3.9070218607095173
wine-quality-red,13,0.6175541339670818,-4.094328560924957
wine-quality-red,14,0.6364457342081336,-3.9021414147008806
wine-quality-red,15,0.5711107439463804,-4.14085616854993
wine-quality-red,16,0.6245261664444262,-3.344631729364624
wine-quality-red,17,0.6282166762006338,-3.719573046455571
wine-quality-red,18,0.638418678179737,-3.7473295140744884
wine-quality-red,19,0.6519753576739632,-3.6486341355316956
power-plant,0,4.145297593328842,2.6798851936131376
power-plant,1,3.7159932566024385,2.6459874329572926
power-plant,2,3.957492505667943,2.682131140090302
power-plant,3,4.123982460184185,2.6437890845378575
power-plant,4,4.165275884222084,2.7079414187579203
power-plant,5,3.95484274690164,2.6543590169264113
power-plant,6,3.8530998201757876,2.669880681078117
power-plant,7,3.708795823560294,2.6290955933763542
power-plant,8,4.150778732187133,2.6616727662929414
power-plant,9,3.9297257855391208,2.656397553126296
power-plant,10,3.828579236916884,2.6456061904879173
power-plant,11,4.231226184423203,2.718648819692552
power-plant,12,3.756054994390985,2.670502335246165
power-plant,13,3.9775131336182885,2.654029905713904
power-plant,14,3.9339765079237035,2.6706794836577985
power-plant,15,3.7793615080729936,2.6692436081012425
power-plant,16,3.8424241229820244,2.64271004703575
