dataset,split,rmse,nll
kin8nm,0,0.07700594273988279,-1.1878510510618512
kin8nm,1,0.083142806503101,-1.1575636519892334
kin8nm,2,0.07401343693256772,-1.2082532191469066
kin8nm,3,0.0760506334715914,-1.2318725659036032
kin8nm,4,0.07583557960772565,-1.231235145661652
kin8nm,5,0.07906758136435454,-1.1524935283615279
kin8nm,6,0.07882185911223885,-1.1983739503877469
kin8nm,7,0.07884430455237298,-1.1825574249402497
kin8nm,8,0.08198034012744278,-1.1702336824982906
kin8nm,9,0.0789756200012957,-1.189113215632416
kin8nm,10,0.07524057253830933,-1.2180985070468908
kin8nm,11,0.0776447062083113,-1.215448626005806
kin8nm,12,0.0819827283347851,-1.1522945113562602
kin8nm,13,0.07390082012306512,-1.2275589743209554
kin8nm,14,0.08040420088712599,-1.1740427735733703
kin8nm,15,0.07455599722312277,-1.213912211221265
kin8nm,16,0.07676580464576815,-1.1792253888376036
kin8nm,17,0.07469412563747596,-1.2393481410260367
kin8nm,18,0.08065461812975634,-1.1860598329883205
kin8nm,19,0.0750844930090722,-1.2014062092617015
bostonHousing,0,2.2138888785188495,2.432309799177228
bostonHousing,1,3.7768439411963897,2.793097016153122
bostonHousing,2,2.7825372761661336,2.65165885792686
bostonHousing,3,2.5459688704495034,2.457478389998606
bostonHousing,4,4.917259221537844,2.4986022111808355
bostonHousing,5,3.2894726596857997,2.5845600627227374
bostonHousing,6,2.31311380574672,2.294979655238843
bostonHousing,7,4.667928598689203,2.8368233467161312
bostonHousing,8,3.474175366465401,2.9485428155970927
bostonHousing,9,5.50796077975826,2.5305315269601554
bostonHousing,10,3.627969098263503,4.617695133951586
bostonHousing,11,3.7761104663479004,2.1166171163684173
bostonHousing,12,2.6045891991010257,2.425830773428535
bostonHousing,13,4.775179961227696,3.141927284402644
bostonHousing,14,2.842162728386885,2.5768746609161486
bostonHousing,15,2.4205595333841656,2.5959829979037727
bostonHousing,16,3.843517564131776,3.075483499344332
bostonHousing,17,3.5492618421144484,2.735291855573417
bostonHousing,18,3.5741861584062193,2.498777988011761
bostonHousing,19,6.175579930813562,2.943876341539778
wine-quality-red,0,0.6336538688036695,0.9179705583029897
wine-quality-red,1,0.6335847118072246,0.9333299179589034
wine-quality-red,2,0.707892412734307,1.1281607085634004
wine-quality-red,3,0.613227041376712,0.8769093712038597
wine-quality-red,4,0.5723347968179836,0.802180408314208
wine-quality-red,5,0.6380759023389982,0.9848515258586771
wine-quality-red,6,0.7030120847646356,1.052010216920525
wine-quality-red,7,0.7022479914061482,1.3407986200311512
wine-quality-red,8,0.6129007261128813,1.011035912550042
wine-quality-red,9,0.6456589105004251,1.1314165832097332
wine-quality-red,10,0.6714132518066864,1.0670201768109773
wine-quality-red,11,0.6601822291359549,1.0199907166679731
wine-quality-red,12,0.6532862265474595,0.9483704616852638
wine-quality-red,13,0.6328030410684139,0.9713372105442073
wine-quality-red,14,0.6311876700360693,0.9069466313732382
wine-quality-red,15,0.5776572645982487,0.9102373135590697
wine-quality-red,16,0.600611573363177,0.8336400539151605
wine-quality-red,17,0.6070522220012442,0.8620997226986337
wine-quality-red,18,0.6413720838155383,0.972508643052695
wine-quality-red,19,0.6202298411401246,0.8798028258303087
power-plant,0,4.133017043918707,2.910070917190641
power-plant,1,3.6186092297482864,2.677297192352824
power-plant,2,3.8644408344666497,2.731122110560777
power-plant,3,4.140780395357174,2.785911760723121
power-plant,4,4.311134556695182,2.8956491236642745
power-plant,5,4.0231275867198795,2.789001338753719
power-plant,6,3.8841061204833616,2.7464697809562977
power-plant,7,3.748201630817621,2.7092371567205906
power-plant,8,4.106634855279586,2.812175096153454
power-plant,9,3.89621785266592,2.7518291972766598
power-plant,10,3.8417255207843928,2.7494579719672783
power-plant,11,4.173440180114507,2.9291318797613735
power-plant,12,3.6813409254027465,2.6846216393355755
power-plant,13,3.9721614514316186,2.8133004512216817
power-plant,14,3.8195235327953494,2.7454715407838584
power-plant,15,3.7824225805516796,2.7085139421339224
power-plant,16,3.7650940566749274,2.7872113056367884
power-plant,17,3.8172594902140133,2.7712511060392218
power-plant,18,3.973450708608262,2.7511628072459398
power-plant,19,4.297357745363373,2.823008142806681
concrete,0,7.578442916153164,3.298888987258021
concrete,1,6.612633206073398,3.505051309625873
concrete,2,5.414791022116267,3.2543926521233772
concrete,3,6.708335568650156,3.466835714840498
concrete,4,6.5105395766614,4.910825568517126
concrete,5,6.296734465374548,3.205014014736732
concrete,6,6.378820301667471,3.3753163937391593
concrete,7,5.576390930726568,3.1654965223210074
concrete,8,5.918135280170578,2.9961468246832164
concrete,9,5.808314257842075,3.1208277466233776
concrete,10,5.589689149165073,3.0971169996070653
concrete,11,5.865654420402339,3.2977068362944046
concrete,12,5.149666706572054,2.9129370778209207
concrete,13,5.929842090433142,3.102045145096485
concrete,14,6.541611386687526,3.441794225050988
concrete,15,5.034207736536478,2.9543867985069356
concrete,16,7.688904384142061,3.538505477954452
concrete,17,6.070010110752481,3.0765423956776345
concrete,18,7.1633706572769436,3.166723158078947
concrete,19,6.205995489560657,3.107080877756453
yacht,0,0.4224122713658032,0.04711132723362423
yacht,1,0.7902595400340225,0.5597671065764508
yacht,2,0.6684120253660236,0.3740871338867233
yacht,3,1.1090497350712416,0.7198888454069944
yacht,4,1.6673165365037002,0.4114436941845212
