dataset,split,rmse,nll
protein-tertiary-structure,0,4.098275702437117,1.9836
protein-tertiary-structure,1,4.091741262647061,1.931
protein-tertiary-structure,2,4.094090897964706,1.9621
protein-tertiary-structure,3,4.148027558812029,1.9843
protein-tertiary-structure,4,4.022373988348099,1.9545
bostonHousing,0,2.1855539933442185,2.1701
bostonHousing,1,2.77017211593799,2.4985
bostonHousing,2,2.0838473474703503,2.1889
bostonHousing,3,2.294623202867355,2.4196
bostonHousing,4,3.7644395605436487,2.2447
bostonHousing,5,2.254112559069425,2.2778
bostonHousing,6,2.3121184386570937,2.2885
bostonHousing,7,4.021216979377229,2.446
bostonHousing,8,3.633194197902612,2.6592
bostonHousing,9,5.343561844829472,2.4654
bostonHousing,10,3.320994634871715,2.442
bostonHousing,11,1.6454292174069245,2.0109
bostonHousing,12,2.45501377371772,2.2691
bostonHousing,13,2.5140853530504854,2.405
bostonHousing,14,2.4954190393079063,2.3215
bostonHousing,15,2.171119798509064,2.3488
bostonHousing,16,3.4136944816336885,2.5774
bostonHousing,17,3.239815816014987,2.5121
bostonHousing,18,2.5849194639491064,2.2658
bostonHousing,19,4.130330598175094,2.43
yacht,0,0.8767338102943129,0.531
yacht,1,0.533637540564378,0.5067
yacht,2,1.042670757730986,0.3361
yacht,3,0.992641140789934,0.714
yacht,4,0.7129788718840281,0.6547
yacht,5,0.4783497817702546,0.6003
yacht,6,0.3292670314083756,0.3546
yacht,7,0.969556479983542,0.5728
yacht,8,0.3926267320685513,0.5302
yacht,9,0.434344635853537,0.4638
yacht,10,0.564358504844645,1.0084
yacht,11,1.209137131184773,0.6487
yacht,12,0.496173402485374,0.6808
yacht,13,1.1692946698782722,0.7775
yacht,14,0.5328470431248687,0.8236
yacht,15,0.7714786218796104,0.5011
yacht,16,0.6545306466784419,0.5726
yacht,17,0.9269334223553182,0.7541
yacht,18,0.9933977702479204,0.7584
yacht,19,1.3282688956531925,0.8095
concrete,0,5.076299604686883,2.9608
concrete,1,5.748357061407066,3.0997
concrete,2,5.022076852305258,3.0074
concrete,3,5.661769121478789,3.1717
concrete,4,5.907591449259243,3.0683
concrete,5,5.163835858866496,2.9331
concrete,6,5.649655940619807,3.0868
concrete,7,5.2154762617991866,2.9831
concrete,8,4.90211590230226,2.8791
concrete,9,4.694761304611378,2.8801
concrete,10,4.430414624587602,2.9195
concrete,11,5.156025799195615,3.0575
concrete,12,5.574386625523738,2.774
concrete,13,4.920583891574162,3.0344
concrete,14,6.019160507416515,3.3066
concrete,15,4.287949542144883,2.7124
concrete,16,5.531690501921264,3.1086
concrete,17,5.649840627904579,3.0083
concrete,18,5.763161358867404,3.0065
concrete,19,4.639677238585346,2.8813
power-plant,0,4.0055408288409176,2.6259
power-plant,1,3.661368270375897,2.6206
power-plant,2,3.875057726766535,2.5921
power-plant,3,4.052506517759185,2.5998
power-plant,4,4.13644173492724,2.7186
power-plant,5,3.7623179724326494,2.5968
power-plant,6,3.783977974037613,2.6094
power-plant,7,3.6205060531599433,2.5846
power-plant,8,4.068179107059317,2.6401
power-plant,9,3.810673227898867,2.6098
power-plant,10,3.730980439882794,2.5873
power-plant,11,4.080529472148443,2.6421
power-plant,12,3.6342101856776607,2.5651
power-plant,13,3.900311710315717,2.6816
power-plant,14,3.797404802092418,2.6579
power-plant,15,3.6885007792769535,2.5821
power-plant,16,3.736066735272254,2.6223
power-plant,17,3.781401062479949,2.6313
power-plant,18,3.913628661551823,2.6149
power-plant,19,4.151899705712832,2.6801
naval-propulsion-plant,0,0.0002411430431046,-6.7368
naval-propulsion-plant,1,0.0002530096408445,-6.8258
naval-propulsion-plant,2,0.0002823834847336,-6.7845
naval-propulsion-plant,3,0.0002911313167975,-6.7231
naval-propulsion-plant,4,0.0003010657754248,-6.6354
naval-propulsion-plant,5,0.0002717430581163,-6.6957
naval-propulsion-plant,6,0.0003295145718838,-6.6871
naval-propulsion-plant,7,0.0002555611092776,-6.659
naval-propulsion-plant,8,0.0003852653553926,-6.6484
naval-propulsion-plant,9,0.0003834608204338,-6.6436
naval-propulsion-plant,10,0.0003892187038928,-6.7967
naval-propulsion-plant,11,0.0003119824063018,-6.7516
naval-propulsion-plant,12,0.0003209892551073,-6.6894
naval-propulsion-plant,13,0.000300950536383,-6.6541
naval-propulsion-plant,14,0.0002898089964106,-6.7761
naval-propulsion-plant,15,0.0003558737860113,-6.7136
naval-propulsion-plant,16,0.0003187557901858,-6.6445
naval-propulsion-plant,17,0.0003267008837514,-6.778
naval-propulsion-plant,18,0.000289261786422,-6.828
naval-propulsion-plant,19,0.0003067426722452,-6.7606
wine-quality-red,0,0.6593510288532783,-5.1354
wine-quality-red,1,0.6397848345704409,-5.1219
wine-quality-red,2,0.7671028058991348,-3.9889
wine-quality-red,3,0.6297976936338266,-5.5432
wine-quality-red,4,0.5667032676893626,-5.695
wine-quality-red,5,0.6716920788840877,-5.1281
wine-quality-red,6,0.7420575569607748,-4.5411
wine-quality-red,7,0.7060396205240106,-5.0099
wine-quality-red,8,0.638343897657586,-5.2731
wine-quality-red,9,0.6901175127458816,-5.1278
wine-quality-red,10,0.6720948416001575,-5.1515
wine-quality-red,11,0.6678055911261679,-5.1388
wine-quality-red,12,0.6720433969315858,-5.2695
wine-quality-red,13,0.6169700550638549,-5.6075
wine-quality-red,14,0.6509897243433659,-4.9858
wine-quality-red,15,0.5871649698721109,-5.3904
wine-quality-red,16,0.6423548859949118,-4.858
wine-quality-red,17,0.6376623508851336,-4.8057
wine-quality-red,18,0.6519149820946978,-5.3895
wine-quality-red,19,0.6654352043176202,-4.9976
kin8nm,0,0.0716310434132238,-1.2524
kin8nm,1,0.0741066273547861,-1.2375
kin8nm,2,0.0667385004026453,-1.3079
kin8nm,3,0.067164695124658,-1.3342
kin8nm,4,0.0685029807314618,-1.2995
kin8nm,5,0.070168938705942,-1.282
kin8nm,6,0.0722857232730137,-1.2802
kin8nm,7,0.0674676545204257,-1.3075
kin8nm,8,0.0691456565377848,-1.292
kin8nm,9,0.0707188130895207,-1.2941
kin8nm,10,0.0674860161764021,-1.3191
kin8nm,11,0.0684011243292044,-1.3145
kin8nm,12,0.0696972410789854,-1.2856
kin8nm,13,0.064598249713157,-1.3532
kin8nm,14,0.0694737137338073,-1.3
kin8nm,15,0.0675161415182074,-1.3114
kin8nm,16,0.0703723192972088,-1.2976
