dataset,split,rmse,nll
kin8nm,0,0.07493063638524551,-1.2136946313328978
kin8nm,1,0.07668631234083802,-1.2040375480294283
kin8nm,2,0.07059352226330799,-1.2692336286401245
kin8nm,3,0.06920763264623453,-1.3071339910914725
kin8nm,4,0.06904781835855682,-1.3057921095068943
kin8nm,5,0.07427910175543108,-1.2292522137432162
kin8nm,6,0.07399715402673732,-1.2934058775356854
kin8nm,7,0.06670786625535592,-1.3435677027007566
kin8nm,8,0.07075954660907213,-1.2890938755678125
kin8nm,9,0.07546957166200256,-1.2637351741746423
kin8nm,10,0.07174716138817172,-1.24790678066075
kin8nm,11,0.07074278576765922,-1.30402034548203
kin8nm,12,0.07545584278105327,-1.2176000718061648
kin8nm,13,0.06716506776375299,-1.3429278349669405
kin8nm,14,0.07425361562647932,-1.2516794965747553
kin8nm,15,0.06852192058861488,-1.3299042444691656
kin8nm,16,0.07292310555716,-1.2856333936876108
kin8nm,17,0.07061492867615514,-1.2840866176378778
kin8nm,18,0.07517950418366041,-1.2255389842139108
kin8nm,19,0.06859215938189502,-1.3309372800369537
bostonHousing,0,2.14903202858351,2.320225689383361
bostonHousing,1,2.796792288565758,2.4707787747125693
bostonHousing,2,2.1900862224853,2.096394112331511
bostonHousing,3,2.243969109590404,2.350140504511705
bostonHousing,4,3.2569078357947214,2.297969621081923
bostonHousing,5,2.067360106608131,2.221078707032549
bostonHousing,6,2.001940606816192,2.2082887072675996
bostonHousing,7,3.794437625579441,2.394207895908082
bostonHousing,8,3.2590527733966352,2.6133249439953947
bostonHousing,9,5.321723440298163,2.583553663237459
bostonHousing,10,3.6027389220593817,2.5622510820542277
bostonHousing,11,2.1862493061556743,2.031332191438387
bostonHousing,12,2.3362932739921414,2.1788079886322804
bostonHousing,13,2.622396861227176,2.3450542006933475
bostonHousing,14,2.4482271383130954,2.190847353427992
bostonHousing,15,2.4386140167420014,2.3346215147721967
bostonHousing,16,3.695345986231937,2.5906477308693012
bostonHousing,17,3.222985429183639,2.568310412649337
bostonHousing,18,2.7878116832256805,2.2809094062054474
bostonHousing,19,5.87261166450522,2.520562449397455
wine-quality-red,0,0.6247387951748731,0.870657184057106
wine-quality-red,1,0.6276194835183024,0.8749831259892847
wine-quality-red,2,0.7148475729167618,1.1228184767964622
wine-quality-red,3,0.6231284617802002,0.856290224960993
wine-quality-red,4,0.5688953829240199,0.7772927367372047
wine-quality-red,5,0.6265311612344346,0.9232101118719589
wine-quality-red,6,0.6815495385579194,0.9558694321878805
wine-quality-red,7,0.6903695900758774,0.9949638085899919
wine-quality-red,8,0.5861064240115179,0.8930464515984637
wine-quality-red,9,0.6318525220548118,0.8989771355743937
wine-quality-red,10,0.6579589393063567,0.8581396241674965
wine-quality-red,11,0.6351571463400394,0.9464224597892253
wine-quality-red,12,0.6563128475711386,0.8889376084731508
wine-quality-red,13,0.6209493009202021,0.9058123975920778
wine-quality-red,14,0.6063368430722419,0.8888558544826441
wine-quality-red,15,0.5882539719395545,0.8363925596855601
wine-quality-red,16,0.5994044469575842,0.7554585170308572
wine-quality-red,17,0.6034991899082222,0.8586723909707752
wine-quality-red,18,0.6335815648873012,0.8977388082887643
wine-quality-red,19,0.6389179523225562,0.8328250658340697
power-plant,0,4.0859965362318125,2.8540455215225635
power-plant,1,3.659615690604156,2.7156342549868286
power-plant,2,3.9059367253937802,2.7407862670779015
power-plant,3,4.1611088336389646,2.801505673107172
power-plant,4,4.248531967290031,2.87785710500703
power-plant,5,4.037732239338452,2.777032913583605
power-plant,6,3.9045158896070737,2.7382076316380166
power-plant,7,3.756865052608524,2.7117578512045846
power-plant,8,4.157376018154265,2.793722522541696
power-plant,9,3.9131260274764488,2.7370074217442717
power-plant,10,3.757626580997711,2.7375059180071633
power-plant,11,4.2260952704011965,2.8625778071552426
power-plant,12,3.770498996015047,2.7045571915445867
power-plant,13,4.021982048997015,2.7893135940107165
power-plant,14,3.903437149743227,2.7685913290601936
power-plant,15,3.7608580409138446,2.6977705382072332
power-plant,16,3.776847281836772,2.7230832531156977
power-plant,17,3.8574588754306354,2.7516823741596173
power-plant,18,3.987465300699983,2.753578489455807
power-plant,19,4.397036350805296,2.8405752851409227
concrete,0,5.658345558146603,2.997121135383949
concrete,1,5.940393008673833,3.105403787619069
concrete,2,5.09663070539917,2.9704906885149773
concrete,3,5.12587271614698,3.0124749523197702
concrete,4,6.360707033867599,3.250025383626979
concrete,5,5.086068708993193,3.036007346295244
concrete,6,5.854959641479181,3.1824124752116236
concrete,7,5.186716792150522,2.9622642310662326
concrete,8,5.179007061606448,2.9348006261333857
concrete,9,4.710346554939589,2.9009327140435435
concrete,10,4.685685208402489,2.9484385750129865
concrete,11,4.814365540102933,2.9343057671319146
concrete,12,5.3200941594003295,2.8054557227307595
concrete,13,4.693729641692601,2.8995610803702156
concrete,14,5.72636820788934,3.082329498255234
concrete,15,4.260398329728567,2.7113757884575524
concrete,16,5.496680515239719,3.0808447447425094
concrete,17,5.707171052826908,2.9676841036837733
concrete,18,5.7630748362549085,2.9597015414431813
concrete,19,5.273398445082864,2.929829135508145
yacht,0,0.7421933273172933,-0.01997563978852493
yacht,1,0.9443263822928524,0.09879133585251425
yacht,2,0.6868146740030404,-0.058275026720627635
yacht,3,1.4300306001358973,0.6165972422768888
yacht,4,0.7566843304140092,0.37135370562763553
yacht,5,0.6234739335286598,0.11354881673460053
yacht,6,0.3190749064110776,-0.03739033386517685
yacht,7,1.1926427993513438,0.0748676149066423
yacht,8,0.31592779975037605,0.037992060291396616
yacht,9,0.6897390923883842,0.19749805702516454
yacht,10,0.8864178380860975,0.6498101512273727
yacht,11,1.267670782147574,0.3404428296251093
yacht,12,0.8538193622682813,0.35317503505257936
yacht,13,1.0786836459773241,1.0599275859243598
yacht,14,0.9840921211180066,0.5444626736336217
yacht,15,0.6936799314239898,0.11440025535960449
yacht,16,0.6242153402239552,-0.06434594849797468
yacht,17,0.7366065788710483,0.012962131606495038
yacht,18,0.9796699795431227,0.4680280159845258
yacht,19,1.8178245261834567,0.4102454508309272
naval-propulsion-plant,0,0.0002715501191639724,-6.861331235189723
naval-propulsion-plant,1,0.00026102042629815356,-6.9519970876952
naval-propulsion-plant,2,0.0003783462276059383,-6.439369472366034
naval-propulsion-plant,3,0.0002611312770882279,-6.906759326917619
naval-propulsion-plant,4,0.00024529433896441504,-6.9142307645997425
naval-propulsion-plant,5,0.00026714951897805395,-6.802697168650567
naval-propulsion-plant,6,0.00028660984998130746,-6.889136197841228
naval-propulsion-plant,7,0.0002660411569347856,-6.955665208101126
naval-propulsion-plant,8,0.0003393354486656186,-6.788749922264001
naval-propulsion-plant,9,0.00028098691268768844,-6.821631567751825
naval-propulsion-plant,10,0.00031073085605180713,-6.803609914239832
naval-propulsion-plant,11,0.00025799195564660997,-6.866858471753485
naval-propulsion-plant,12,0.00031350881536286825,-6.83699227421658
naval-propulsion-plant,13,0.0003823509735569181,-6.596593114192616
naval-propulsion-plant,14,0.0003303182183923839,-6.81094612135847
naval-propulsion-plant,15,0.00022596799357907436,-6.954988556950143
naval-propulsion-plant,16,0.0002790551741773103,-6.840305723988635
naval-propulsion-plant,17,0.0002524890916679075,-7.0109524553068345
naval-propulsion-plant,18,0.0002905611340016478,-6.872223974619506
naval-propulsion-plant,19,0.00029588283644539176,-6.823030037895776
energy,0,0.4648526642766486,0.7663659367222752
energy,1,0.5872215951212723,4.254765989169736
energy,2,0.41423524303326237,0.3186340943874106
energy,3,0.4755973916216756,0.4647266985496016
energy,4,0.5731944752235212,1.0026313596634577
energy,5,0.6906795021216395,0.7305603510085298
energy,6,0.4300953953023138,0.35616178637733703
energy,7,0.551951985951494,0.6694728915718157
energy,8,0.5268278752683926,1.7172850326694997
energy,9,0.4472739339848049,0.34040574340294366
energy,10,0.507388284880294,0.5285708336841795
energy,11,0.42891112746546545,0.49923200692885444
energy,12,0.589154515076374,2.4631332087819735
energy,13,0.46493097411104634,0.4103524882502604
energy,14,0.5362352566675432,0.769980000033607
energy,15,0.416477196031523,0.3503760686486682
energy,16,0.5943483025032957,1.9304625036974374
energy,17,1.1320477003299978,1.1115207095297108
energy,18,0.53300145822546,0.7600077450748056
energy,19,0.5189214010563503,0.5973394533041627
protein-tertiary-structure,0,4.465239572994173,2.751076482402972
protein-tertiary-structure,1,4.371109245503938,2.7643625888384604
protein-tertiary-structure,2,4.464598238024316,2.708533944190664
protein-tertiary-structure,3,4.236372354285268,2.6636616375034055
protein-tertiary-structure,4,4.396670762378283,2.7639274724788483
