dataset,split,rmse,nll
kin8nm,0,0.06420599111965113,-1.383885141206818
kin8nm,1,0.06623490362924778,-1.345541015822529
kin8nm,2,0.06427757570956386,-1.3639952743091215
kin8nm,3,0.06272704773732324,-1.3901951549242715
kin8nm,4,0.06571821982119809,-1.3572636777358769
kin8nm,5,0.06582620466026769,-1.3304408571579802
kin8nm,6,0.06583969522427102,-1.3778726404006436
kin8nm,7,0.059639184494566434,-1.440175050096977
kin8nm,8,0.06440329488623593,-1.3830902341315978
kin8nm,9,0.06241867883530374,-1.4079853621083864
kin8nm,10,0.06386065599302651,-1.3712616960546404
kin8nm,11,0.06511550161537889,-1.3621489813765595
kin8nm,12,0.06720844153333111,-1.3298509590796919
kin8nm,13,0.06234569669119647,-1.388779270128914
kin8nm,14,0.06617271645457241,-1.354419293095846
kin8nm,15,0.0647130866217578,-1.3763452558428837
kin8nm,16,0.06490982974367,-1.366209574083949
kin8nm,17,0.06455026285503399,-1.3615526013388186
kin8nm,18,0.06530558022741605,-1.364267298690931
kin8nm,19,0.06317650286142633,-1.4071498952945516
bostonHousing,0,2.242636702508463,2.1384799532587806
bostonHousing,1,2.8000904807931235,2.4515565783694795
bostonHousing,2,2.139318005361828,2.169619839855586
bostonHousing,3,2.1835441144320464,2.307554449864542
bostonHousing,4,3.0646410867463847,2.153229578336129
bostonHousing,5,2.251765010247506,2.254705066539028
bostonHousing,6,2.0702843112593925,2.1701873745401703
bostonHousing,7,2.9414286903442974,2.183054283209089
bostonHousing,8,4.283434919892518,2.6397698025098224
bostonHousing,9,4.097522797271037,2.354906405056574
bostonHousing,10,3.420462786320258,2.5613730744325203
bostonHousing,11,3.825240737657247,2.0223550626375983
bostonHousing,12,2.3719735721050275,2.1098729635529807
bostonHousing,13,3.931252907709518,2.4019142882383417
bostonHousing,14,2.5796215268345817,2.2413106987692015
bostonHousing,15,2.2489414803531185,2.1843228557668573
bostonHousing,16,4.348512995330607,2.6319855033613067
bostonHousing,17,2.85263699942731,2.5038595778653776
bostonHousing,18,2.7506373617077022,2.302348891049701
bostonHousing,19,5.634796025299592,2.5235228748450598
wine-quality-red,0,0.6411997656065639,-3.941424875312702
wine-quality-red,1,0.6383609582649613,-3.937934755243354
wine-quality-red,2,0.7019509026373428,-3.7392493181125674
wine-quality-red,3,0.6231905594800425,-3.971003547725299
wine-quality-red,4,0.5678558669705285,-4.130765073981901
wine-quality-red,5,0.6628884768009071,-3.689709831017907
wine-quality-red,6,0.6641751400581454,-4.055231976138233
wine-quality-red,7,0.6704571988940161,-3.4755857245833095
wine-quality-red,8,0.6261645723226855,-4.2899423240984005
wine-quality-red,9,0.6522540127061792,-3.7616555560719664
wine-quality-red,10,0.6796296282177623,-3.7145202340267676
wine-quality-red,11,0.6805777780653751,-3.9350412496989637
wine-quality-red,12,0.6800772161230852,-3.935718063738302
wine-quality-red,13,0.6297814866182347,-4.031553252521164
wine-quality-red,14,0.6170779799111983,-4.020804349275711
wine-quality-red,15,0.5479871177679311,-4.138052695300857
wine-quality-red,16,0.6239943343687905,-3.5700038238668896
wine-quality-red,17,0.6155648842233682,-3.821166605478488
wine-quality-red,18,0.6401286637861613,-3.99035319873593
wine-quality-red,19,0.6585142425315329,-4.011323992699064
power-plant,0,4.097672901651971,2.6614154204321236
power-plant,1,3.669812188547078,2.594372344329837
power-plant,2,3.94286785274007,2.6099342634855422
power-plant,3,4.150692723026642,2.6551118380500283
power-plant,4,4.188579414422083,2.741011077036563
power-plant,5,3.999594149540681,2.686015479003355
power-plant,6,3.839642254616704,2.636837034246905
power-plant,7,3.765320551331319,2.6210795668467
power-plant,8,4.127701808674447,2.6531375755362525
power-plant,9,3.867782855724803,2.6244999635285735
power-plant,10,3.8486113172834915,2.647555150346399
power-plant,11,4.199962358236034,2.6561106099295944
power-plant,12,3.807547956506005,2.6440951755124487
power-plant,13,4.003637666443403,2.680694527768141
power-plant,14,3.8565507717992205,2.6205991135455853
power-plant,15,3.7548176461359173,2.619027908753186
power-plant,16,3.7807004737112564,2.6200428111202205
power-plant,17,3.8632199613581735,2.6327029402207622
power-plant,18,4.0033770732487906,2.6005886251283945
power-plant,19,4.240860055963175,2.6408063023605077
concrete,0,5.208954106629765,2.9538409176202767
concrete,1,5.896198063535591,3.0014796272467494
concrete,2,5.0374454066739975,2.843150508998922
concrete,3,5.8597110035311815,3.2319068486735945
concrete,4,6.2239771774351285,3.206312049981439
concrete,5,5.245324326670902,2.8927402441891017
concrete,6,6.469151667127653,3.1949348659989205
concrete,7,5.120191929080907,3.0159127150488976
concrete,8,4.953421728431861,2.901276305358694
concrete,9,5.06470432560668,3.03816617182474
concrete,10,4.215405796609428,2.762785233306321
concrete,11,4.727948901411811,3.0513482503502294
concrete,12,4.620311973985202,2.8253517236383714
concrete,13,4.403838076774289,2.787625828391203
concrete,14,5.901139928968874,3.2422514228559596
concrete,15,5.461679948484666,2.8040527978971523
concrete,16,5.604548265664716,3.031228645342173
concrete,17,5.658288203823488,2.9821721680889928
concrete,18,6.00338711191956,2.9942369914730116
concrete,19,5.462080785118052,2.9704201331937603
yacht,0,0.9338874706532813,0.49357429310042794
yacht,1,0.546992446848795,0.46505737627989246
yacht,2,0.6451887424911439,0.5759419571286852
yacht,3,1.045669011306621,0.7250255429339335
yacht,4,0.5353954912576615,0.48704016243206566
yacht,5,0.607441651987108,0.38887430300260084
yacht,6,0.2696146545131756,0.35304865774997213
yacht,7,0.8377757350764775,0.533412513517089
yacht,8,0.3217956345615186,0.45263114706167923
yacht,9,0.5428196262511222,0.4076849305790563
yacht,10,0.804218563003762,0.710681616574427
yacht,11,1.660965190262325,0.573510297362887
yacht,12,0.7573505848271017,0.5481372265676177
yacht,13,1.0771646209348185,0.5976446708239134
yacht,14,0.7959985928587943,0.6194908380705734
yacht,15,0.8705186273975382,0.5584897618224305
yacht,16,0.7617751157800625,0.4504605796019577
yacht,17,1.4503416434750633,0.7965114188906537
yacht,18,1.0542643898155208,0.6194505231370809
yacht,19,1.1307653375903952,0.6350989283240868
naval-propulsion-plant,0,0.00033655535970371727,-6.415089976847147
naval-propulsion-plant,1,0.00036627025410613384,-6.4488949177066495
naval-propulsion-plant,2,0.00039036215677273244,-6.30422901732437
naval-propulsion-plant,3,0.00042808137559113786,-6.267501994874104
naval-propulsion-plant,4,0.00034986875755000426,-6.378999714393689
naval-propulsion-plant,5,0.00041301668396691505,-6.267216618695113
naval-propulsion-plant,6,0.00043447912149868436,-6.3545420529777905
naval-propulsion-plant,7,0.0003138014730240984,-6.31344300715882
naval-propulsion-plant,8,0.00039716068206015567,-6.460899477953615
naval-propulsion-plant,9,0.00036211719139615605,-6.400490220350772
naval-propulsion-plant,10,0.00038112933883674465,-6.410733604278983
naval-propulsion-plant,11,0.00027774760798565787,-6.411975097960924
naval-propulsion-plant,12,0.0003908141795007858,-6.306032343414546
naval-propulsion-plant,13,0.0003712349885331666,-6.300569487328324
naval-propulsion-plant,14,0.0003224040153097711,-6.342158556064365
naval-propulsion-plant,15,0.0003356417294043664,-6.305497938717348
naval-propulsion-plant,16,0.00036824795822940396,-6.5306137133393545
naval-propulsion-plant,17,0.00036462597747547284,-6.315103152254845
naval-propulsion-plant,18,0.0002920323143735687,-6.372811749002117
naval-propulsion-plant,19,0.0002747761155799007,-6.618435205393441
energy,0,0.7533078576580752,0.5223203814422165
energy,1,0.5693910542616095,0.6777191446297058
energy,2,0.44544422253874705,0.435902939511011
energy,3,0.4514986813464765,0.4173380569178709
energy,4,0.6057200790644367,0.7429953569296801
energy,5,0.4728814418017052,0.49960660829081993
energy,6,0.5256724256013461,0.5824193285878044
energy,7,0.5627341547451552,0.5488634730772337
energy,8,0.5624605470958823,0.5411946434574101
energy,9,0.9353066177340739,0.6074781048088248
energy,10,0.4549978819817144,0.5622580508799445
energy,11,0.4041353190394407,0.36322908826469935
energy,12,0.5553896637847034,0.653483259044287
energy,13,0.6510968211397816,0.6190012229425406
energy,14,0.5953834907366777,0.5521655901779935
energy,15,0.7322876938755525,0.5276757149274555
energy,16,0.9709945011649092,0.8119499596648224
energy,17,0.525454232757042,0.4821399926168265
energy,18,0.7156340421677846,0.7036295726155118
energy,19,0.6964403813985841,0.7787708319116227
protein-tertiary-structure,0,4.157824077427893,1.9977386249092581
protein-tertiary-structure,1,4.1434994139907495,1.9515703018250958
protein-tertiary-structure,2,4.077490014748522,1.9725496806329552
protein-tertiary-structure,3,4.110835509460987,1.9746763720772644
protein-tertiary-structure,4,4.0560982157416285,1.968288798300497
