dataset,split,rmse,nll
kin8nm,0,0.0692554527605891,-1.2748603707266593
kin8nm,1,0.07639585935454077,-1.157756372961726
kin8nm,2,0.07073577604098139,-1.2188592687520963
kin8nm,3,0.07307849676725245,-1.1763656560694875
kin8nm,4,0.07191928463316433,-1.240698117326323
kin8nm,5,0.07379484813887828,-1.1867533002265347
kin8nm,6,0.07201715687080372,-1.2342753309155094
kin8nm,7,0.07190370364238981,-1.212469750713887
kin8nm,8,0.07327841550976809,-1.2207467931231155
kin8nm,9,0.0702806064357958,-1.237366733234816
kin8nm,10,0.07303979689008396,-1.1845930929698472
kin8nm,11,0.0757456400358448,-1.160486425011738
kin8nm,12,0.0756929781235093,-1.1759962380415656
kin8nm,13,0.06959862006007662,-1.2773468101344616
kin8nm,14,0.07400218219595738,-1.152558830276735
kin8nm,15,0.07068027862253559,-1.2459730695300306
kin8nm,16,0.0684099516752936,-1.2689316014528542
kin8nm,17,0.07128206119611996,-1.2265959338336472
kin8nm,18,0.07233274605396287,-1.2175309816476045
kin8nm,19,0.0676605690311917,-1.2313311391179322
bostonHousing,0,2.6900941685853286,2.406171420817677
bostonHousing,1,3.122191677267024,2.4828246410163244
bostonHousing,2,2.5267950517460918,2.6042785843219325
bostonHousing,3,3.0375379601604777,2.450607482476939
bostonHousing,4,4.5942554990417515,2.3914982030109884
bostonHousing,5,3.3618267677818117,2.4847219596823042
bostonHousing,6,2.3121154322516837,2.4620656775993615
bostonHousing,7,4.600808446479386,2.4980864788662305
bostonHousing,8,3.492372344385785,3.004145802787972
bostonHousing,9,5.496650670187096,2.362765826380583
bostonHousing,10,4.141994822066607,2.56608877220347
bostonHousing,11,4.397412211360912,2.2293995110946265
bostonHousing,12,2.9498602801156926,2.459932430719442
bostonHousing,13,5.16645755058973,2.6297383810670047
bostonHousing,14,2.727673159778172,2.586045955469062
bostonHousing,15,2.8587177429039583,2.445052621318358
bostonHousing,16,4.187600359757614,2.65183305920087
bostonHousing,17,3.436286492211907,2.429669580797833
bostonHousing,18,2.9793238369153836,2.4240180771851745
bostonHousing,19,6.455467250580092,2.7598786281323453
wine-quality-red,0,0.6503408166589236,-3.61219494480807
wine-quality-red,1,0.6263745482226301,-3.387124803160566
wine-quality-red,2,0.7592212483985528,-3.4223317159533924
wine-quality-red,3,0.6386979374770991,-3.431239708345148
wine-quality-red,4,0.58543958731883,-3.5071267319338904
wine-quality-red,5,0.6620950957870415,-3.2073622314442307
wine-quality-red,6,0.728703252336082,-3.479280084175261
wine-quality-red,7,0.7108795263941404,-3.5475146217337725
wine-quality-red,8,0.6559637098312648,-3.3998310394124363
wine-quality-red,9,0.6895169039033858,-3.4046145198710462
wine-quality-red,10,0.6839180633052696,-3.681760125076343
wine-quality-red,11,0.6636976405436229,-3.6681143484081122
wine-quality-red,12,0.6737967833352582,-3.398071959557395
wine-quality-red,13,0.6258739960753472,-3.3946594176381355
wine-quality-red,14,0.6584721245175816,-3.600719433104764
wine-quality-red,15,0.6043961383663722,-3.433398280448081
wine-quality-red,16,0.6207683106899583,-3.386329847063603
wine-quality-red,17,0.647905960295776,-3.6379517229245906
wine-quality-red,18,0.6367130096141287,-3.6376102447400074
