dataset,split,crps,rmse,nll
kin8nm,0,0.03609586879611015,0.0654009713313316,-1.3460602760314941
kin8nm,1,0.035928621888160706,0.06545362817407413,-1.3408949375152588
kin8nm,2,0.03532331436872482,0.06359917462899753,-1.3606852293014526
kin8nm,3,0.03506605327129364,0.06286339614640535,-1.3692594766616821
kin8nm,4,0.03569896146655083,0.06458855979226949,-1.3513466119766235
kin8nm,5,0.03628112003207207,0.06574503147889192,-1.3287320137023926
kin8nm,6,0.03561421483755112,0.06552960467239982,-1.3440890312194824
kin8nm,7,0.03388537839055061,0.06060971375516026,-1.3911981582641602
kin8nm,8,0.034903910011053085,0.06396303465519848,-1.3790770769119263
kin8nm,9,0.03430044651031494,0.062149426229417624,-1.3878647089004517
kin8nm,10,0.03481630980968475,0.06221952500033088,-1.3725115060806274
kin8nm,11,0.03514743223786354,0.06388625566086711,-1.3544546365737915
kin8nm,12,0.037268612533807755,0.06713440621436617,-1.303816556930542
kin8nm,13,0.03368441015481949,0.06072195182138939,-1.3960115909576416
kin8nm,14,0.03494550287723541,0.06332176848096067,-1.3603293895721436
kin8nm,15,0.03498426079750061,0.06306366512547382,-1.3666362762451172
kin8nm,16,0.034361712634563446,0.0624065128390365,-1.3886337280273438
kin8nm,17,0.035403866320848465,0.06333775014296222,-1.3557980060577393
kin8nm,18,0.036607321351766586,0.06626908778574302,-1.3248534202575684
kin8nm,19,0.03464656323194504,0.06246516068813332,-1.3716175556182861
bostonHousing,0,1.2476741075515747,2.427141431732516,2.1984879970550537
bostonHousing,1,1.330244541168213,2.4975023190599277,2.2920589447021484
bostonHousing,2,1.3034899234771729,2.358472537817518,2.250786781311035
bostonHousing,3,1.2078824043273926,2.1978055977140056,2.202946901321411
bostonHousing,4,1.5030903816223145,3.1162943313328206,2.3013973236083984
bostonHousing,5,1.337069034576416,2.522775380100004,2.251826763153076
bostonHousing,6,1.1738964319229126,2.074280358960273,2.2074944972991943
bostonHousing,7,1.3239874839782715,3.0257572077577293,2.2134995460510254
bostonHousing,8,1.874959111213684,3.169027770017346,3.048150062561035
bostonHousing,9,1.7907099723815918,4.614627238022421,2.2899861335754395
bostonHousing,10,1.6974520683288574,3.307858940594962,2.4536445140838623
bostonHousing,11,1.2832294702529907,3.4131412616224295,2.0459563732147217
bostonHousing,12,1.2644808292388916,2.3160440248577627,2.232109308242798
bostonHousing,13,1.7085236310958862,3.6328896791196805,2.3891351222991943
bostonHousing,14,1.207234501838684,2.235724408480676,2.079463005065918
bostonHousing,15,1.2403428554534912,2.3766515911992037,2.174344539642334
bostonHousing,16,1.7345812320709229,3.245793481336471,2.6455330848693848
bostonHousing,17,1.4590673446655273,2.9185344346880613,2.4474716186523438
bostonHousing,18,1.32546865940094,2.580378062323241,2.204832077026367
bostonHousing,19,2.228025436401367,5.645476307671348,2.440622568130493
wine-quality-red,0,0.3300897777080536,0.6544672502202615,-0.1511077880859375
wine-quality-red,1,0.31459158658981323,0.62946737621055,-0.19571179151535034
wine-quality-red,2,0.34983202815055847,0.7241097344544805,-0.041780147701501846
wine-quality-red,3,0.31426921486854553,0.644998069250189,-0.2341264933347702
wine-quality-red,4,0.2756560444831848,0.5776436580392699,-0.33144664764404297
wine-quality-red,5,0.31696492433547974,0.6396172901752728,-0.18689104914665222
wine-quality-red,6,0.2886165976524353,0.6044583164764751,-0.17992794513702393
wine-quality-red,7,0.34948787093162537,0.690964724842421,-0.003670042846351862
wine-quality-red,8,0.2827324867248535,0.5862428759485685,-0.3370107114315033
wine-quality-red,9,0.32873567938804626,0.6458510324657575,-0.07716064155101776
wine-quality-red,10,0.3248375356197357,0.6590059178510659,-0.14052477478981018
wine-quality-red,11,0.33389949798583984,0.6565841550673812,-0.18375340104103088
wine-quality-red,12,0.31627801060676575,0.661606927135867,-0.1721367985010147
wine-quality-red,13,0.29541251063346863,0.6204357860668707,-0.328700989484787
wine-quality-red,14,0.31037625670433044,0.6233770279010888,-0.1628236621618271
wine-quality-red,15,0.2808494567871094,0.5823913586692006,-0.2548559308052063
wine-quality-red,16,0.2910219430923462,0.6062019830545443,-0.27848634123802185
wine-quality-red,17,0.294146865606308,0.6088087679011668,-0.2079770863056183
wine-quality-red,18,0.3166849613189697,0.6348336755515122,-0.153782919049263
wine-quality-red,19,0.31586360931396484,0.6314169955548735,-0.15650497376918793
power-plant,0,1.8805471658706665,3.793556301444786,2.5788261890411377
power-plant,1,1.812111496925354,3.4505298926276513,2.5501246452331543
power-plant,2,1.8610703945159912,3.6985923615408263,2.557065010070801
power-plant,3,1.8730779886245728,3.855703731282752,2.5688328742980957
power-plant,4,1.9248056411743164,3.78901593681119,2.5894415378570557
power-plant,5,1.8498625755310059,3.6426711983333715,2.5564167499542236
power-plant,6,1.876560926437378,3.5897058703288813,2.581528663635254
power-plant,7,1.8488333225250244,3.4533460727540133,2.571800470352173
power-plant,8,1.9195630550384521,3.9330877378266536,2.5808444023132324
power-plant,9,1.8735750913619995,3.5790266874841996,2.5713388919830322
power-plant,10,1.8182350397109985,3.5199837346134655,2.5382795333862305
power-plant,11,1.948135256767273,3.8903916377052017,2.5957882404327393
power-plant,12,1.786060094833374,3.4190648354125845,2.529249429702759
power-plant,13,1.8352859020233154,3.6165074807101156,2.5562744140625
power-plant,14,1.875566840171814,3.587736189773048,2.5687649250030518
power-plant,15,1.7949358224868774,3.409422071151199,2.538954019546509
power-plant,16,1.800134539604187,3.5044602176271242,2.5357837677001953
power-plant,17,1.8917471170425415,3.6253898674037566,2.5690603256225586
power-plant,18,1.826837182044983,3.7133109443258974,2.549569845199585
power-plant,19,1.911401629447937,3.9701966780365527,2.585259199142456
concrete,0,2.7190279960632324,5.231577566959256,3.0154025554656982
concrete,1,2.8486311435699463,5.898676138591462,2.9108169078826904
concrete,2,2.054579257965088,4.24590081388078,2.6313157081604004
concrete,3,2.635413646697998,5.21383764726952,2.962632894515991
concrete,4,2.9617629051208496,5.988592429639045,2.9590582847595215
concrete,5,1.936940312385559,4.228691763435988,2.532374382019043
concrete,6,2.309260129928589,5.0047337058581585,2.786891222000122
concrete,7,2.478317975997925,5.5667404984624245,2.821601152420044
concrete,8,2.1619296073913574,4.624392701563782,2.6621029376983643
concrete,9,2.3660056591033936,4.61988712916037,2.694831132888794
concrete,10,1.8448923826217651,3.756721956940036,2.5176029205322266
concrete,11,2.2075021266937256,4.658379394267133,2.714792251586914
concrete,12,1.9775322675704956,4.199232149324552,2.5673303604125977
concrete,13,1.913332223892212,3.8184160701513448,2.518723487854004
concrete,14,2.536498546600342,5.22534785960765,2.862447738647461
concrete,15,1.8640834093093872,4.278944522448999,2.5237252712249756
concrete,16,2.365678548812866,4.788088228029485,2.757788896560669
concrete,17,2.1437265872955322,4.680746477700002,2.7090964317321777
concrete,18,2.6036300659179688,5.792039854618598,2.799499750137329
concrete,19,2.532681465148926,5.673352430037301,2.750708818435669
yacht,0,0.16205431520938873,0.5435494261256376,0.6925281286239624
yacht,1,0.2518628239631653,0.7897808468727487,0.7538248896598816
yacht,2,0.22842739522457123,0.6415212920677454,0.9086719751358032
yacht,3,0.42056164145469666,1.2375265523200476,1.0191818475723267
yacht,4,0.2626320421695709,0.8274409870068755,0.8231085538864136
yacht,5,0.2888653576374054,1.5933123716999928,0.5709042549133301
yacht,6,0.1293577253818512,0.22298722179275093,0.8649932742118835
yacht,7,0.2674105763435364,0.9256130339308166,0.5378777980804443
yacht,8,0.2530261278152466,0.695167526390308,0.6765003800392151
yacht,9,0.1682736724615097,0.48346398419737413,0.7420212030410767
yacht,10,0.23572584986686707,0.4240624795068948,0.8279672861099243
yacht,11,0.4275660514831543,1.5458106801034608,0.9217952489852905
yacht,12,0.4210902154445648,1.320030227372835,0.6821324825286865
yacht,13,0.34973689913749695,1.0178733587765922,0.9063843488693237
yacht,14,0.2768349349498749,0.7648720834411186,0.8328197598457336
yacht,15,0.30617353320121765,1.5487837911372437,0.6976820230484009
yacht,16,0.3125395178794861,1.2049358166423132,0.8564895987510681
yacht,17,0.24832327663898468,0.850680182893195,0.5665832757949829
yacht,18,0.5605065226554871,1.688750968949769,1.1011993885040283
yacht,19,0.45709919929504395,1.475064926011634,0.9459238052368164
naval-propulsion-plant,0,0.0001818710152292624,0.0002382089244406355,-5.9820075035095215
naval-propulsion-plant,1,0.0001929769350681454,0.0002169220458586806,-5.883593559265137
naval-propulsion-plant,2,0.00016625464195385575,0.0002209202075809447,-6.118439674377441
naval-propulsion-plant,3,0.00018649126286618412,0.0002411043687891691,-5.7658843994140625
naval-propulsion-plant,4,0.00016495867748744786,0.0001962993801715117,-6.0525126457214355
naval-propulsion-plant,5,0.00017638970166444778,0.00022027910764608682,-5.961726665496826
naval-propulsion-plant,6,0.00015231553697958589,0.00017159405499993035,-6.085172176361084
naval-propulsion-plant,7,0.0001675798266660422,0.00023416102505348146,-6.034111022949219
naval-propulsion-plant,8,0.00019922901992686093,0.0002365557119601252,-5.812793254852295
naval-propulsion-plant,9,0.00017841270891949534,0.0002875348821726405,-6.031743049621582
naval-propulsion-plant,10,0.00014302598719950765,0.0002420515196099299,-6.216041088104248
naval-propulsion-plant,11,0.00018004720914177597,0.00028019861396589814,-6.018316745758057
naval-propulsion-plant,12,0.0001745778281474486,0.0002295579785977441,-5.943578720092773
naval-propulsion-plant,13,0.00016307401529047638,0.00017293599230634534,-5.876467704772949
naval-propulsion-plant,14,0.00015685697144363075,0.00020102438556626542,-6.14129114151001
naval-propulsion-plant,15,0.0001903371448861435,0.00021575208462093238,-5.6999993324279785
naval-propulsion-plant,16,0.00015887338668107986,0.00019613676162287216,-5.6503586769104
naval-propulsion-plant,17,0.00018531251407694072,0.0002746353847740581,-5.958899974822998
naval-propulsion-plant,18,0.00019075904856435955,0.00021150571091462707,-5.855372905731201
naval-propulsion-plant,19,0.00017691633547656238,0.0001896703994405782,-5.956894397735596
energy,0,0.19100859761238098,0.41275272502611915,0.64015132188797
energy,1,0.23930194973945618,0.5155374857300001,0.7831568717956543
energy,2,0.16984161734580994,0.32705428633316613,0.5928407311439514
energy,3,0.2121160626411438,0.4395235132430829,0.6068127155303955
energy,4,0.24622686207294464,0.4763757621240538,0.7936792969703674
energy,5,0.1891215741634369,0.3696376945630029,0.6243508458137512
energy,6,0.22396816313266754,0.433916985252258,0.6824259757995605
energy,7,0.20377683639526367,0.421292467948014,0.7129074931144714
energy,8,0.23004046082496643,0.5314113708446769,0.722905158996582
energy,9,0.2632189691066742,0.6355302167232142,0.7540522217750549
energy,10,0.18130522966384888,0.33212305931411584,0.6333310604095459
energy,11,0.19607828557491302,0.41914290101356827,0.5993579030036926
energy,12,0.1993803232908249,0.46906727543788296,0.6842864155769348
energy,13,0.21701210737228394,0.4535318061248518,0.6732742786407471
energy,14,0.19806775450706482,0.3928014584964374,0.63470059633255
energy,15,0.16603095829486847,0.3017663676706515,0.6254557967185974
energy,16,0.2371114194393158,0.5155433532344829,0.7649157643318176
energy,17,0.18758296966552734,0.40599607821740835,0.5852646827697754
energy,18,0.24948908388614655,0.5688334581952648,0.6645224690437317
energy,19,0.23712961375713348,0.4881862547974193,0.6917139887809753
protein-tertiary-structure,0,1.656531810760498,3.6533184851973513,2.1902222633361816
protein-tertiary-structure,1,1.6834888458251953,3.7265097816305124,2.172903299331665
protein-tertiary-structure,2,1.6799907684326172,3.698064896025991,2.2006731033325195
protein-tertiary-structure,3,1.6887606382369995,3.71665279973156,2.190382957458496
protein-tertiary-structure,4,1.6442869901657104,3.6676744174373246,2.1594324111938477
