dataset,split,crps,rmse,nll
kin8nm,0,0.036313965916633606,0.0653566515081756,-1.3367737531661987
kin8nm,1,0.037723831832408905,0.06793242023470669,-1.3018134832382202
kin8nm,2,0.036242756992578506,0.06493412780129032,-1.3275150060653687
kin8nm,3,0.0355079285800457,0.06342463570206544,-1.3542038202285767
kin8nm,4,0.036795150488615036,0.06576419838110008,-1.3101656436920166
kin8nm,5,0.037450194358825684,0.0674843403358397,-1.30066978931427
kin8nm,6,0.037302155047655106,0.06830530071495954,-1.3151873350143433
kin8nm,7,0.03488476946949959,0.06181107184669044,-1.3673999309539795
kin8nm,8,0.03707544878125191,0.06693410051174581,-1.320225477218628
kin8nm,9,0.03575100377202034,0.0643653343985881,-1.342150330543518
kin8nm,10,0.03555513918399811,0.06334341463179936,-1.3596158027648926
kin8nm,11,0.03563101217150688,0.06385972944804837,-1.3564373254776
kin8nm,12,0.03767349570989609,0.06744184879430655,-1.2922776937484741
kin8nm,13,0.03435562178492546,0.06180296702082422,-1.384830117225647
kin8nm,14,0.036096975207328796,0.06419105424484431,-1.335886836051941
kin8nm,15,0.03592173010110855,0.06387279162186635,-1.3487333059310913
kin8nm,16,0.03622519597411156,0.06535662300846651,-1.3345272541046143
kin8nm,17,0.03631008416414261,0.06483893089311413,-1.3345874547958374
kin8nm,18,0.03708110749721527,0.06749927435370098,-1.3170562982559204
kin8nm,19,0.034957241266965866,0.06287023290712594,-1.3585805892944336
bostonHousing,0,1.3753459453582764,2.554425240683645,2.2999205589294434
bostonHousing,1,1.3180512189865112,2.5175576693796597,2.308171272277832
bostonHousing,2,1.3173786401748657,2.359862826611921,2.266552448272705
bostonHousing,3,1.2657984495162964,2.3295337076165854,2.235468864440918
bostonHousing,4,1.5324225425720215,3.3336346649026387,2.291041374206543
bostonHousing,5,1.3232386112213135,2.4837356800421033,2.228120803833008
bostonHousing,6,1.191554069519043,2.0930574324993967,2.215799331665039
bostonHousing,7,1.2698298692703247,2.623436689348306,2.260045051574707
bostonHousing,8,1.7371540069580078,3.073944661234888,2.726682662963867
bostonHousing,9,1.7506023645401,4.593107009833777,2.312227487564087
bostonHousing,10,1.8644440174102783,3.6446836711579205,2.5306670665740967
bostonHousing,11,1.1468324661254883,2.8137189978472326,2.006636142730713
bostonHousing,12,1.2135318517684937,2.228715357743897,2.131889820098877
bostonHousing,13,1.5845036506652832,3.4671400303318007,2.3325905799865723
bostonHousing,14,1.1857433319091797,2.190982226795449,2.1437487602233887
bostonHousing,15,1.1960121393203735,2.1279619554976565,2.163959503173828
bostonHousing,16,1.6881182193756104,3.277077046796747,2.5349526405334473
bostonHousing,17,1.4812341928482056,3.0698507413087,2.4484496116638184
bostonHousing,18,1.1841020584106445,2.2780215267339834,2.096752405166626
bostonHousing,19,2.2880783081054688,5.616432786518806,2.56172251701355
wine-quality-red,0,0.3265239894390106,0.6541570941159871,0.1202927976846695
wine-quality-red,1,0.30162906646728516,0.6054469689173854,0.05724737048149109
wine-quality-red,2,0.3558167517185211,0.7234502193906439,0.2897985875606537
wine-quality-red,3,0.31064578890800476,0.6426003171109089,0.07742025703191757
wine-quality-red,4,0.2546723484992981,0.5536696807184845,-0.0828094482421875
wine-quality-red,5,0.3383084833621979,0.6655401730997602,0.22610612213611603
wine-quality-red,6,0.31781005859375,0.6458259064237085,0.1409132331609726
wine-quality-red,7,0.3485444486141205,0.6849640327603401,0.26610538363456726
wine-quality-red,8,0.29952892661094666,0.6075007151375789,0.02755417302250862
wine-quality-red,9,0.3335516154766083,0.6585372620020641,0.24064050614833832
wine-quality-red,10,0.3263006806373596,0.6533881866367982,0.15830539166927338
wine-quality-red,11,0.33379364013671875,0.6504443034797407,0.11421992629766464
wine-quality-red,12,0.34278711676597595,0.6936764059467649,0.17501577734947205
wine-quality-red,13,0.28252077102661133,0.6018836167571362,-0.04232759401202202
wine-quality-red,14,0.313608318567276,0.6202264163920178,0.13370679318904877
wine-quality-red,15,0.27628564834594727,0.5800918680226375,-0.021008197218179703
wine-quality-red,16,0.3007819354534149,0.6172091081916946,0.024036437273025513
wine-quality-red,17,0.29241371154785156,0.6008837697988381,0.05530500411987305
wine-quality-red,18,0.30516573786735535,0.6177601632239732,0.09939023852348328
wine-quality-red,19,0.3257041275501251,0.6507243540279397,0.16287808120250702
power-plant,0,1.842679500579834,3.740639384281097,2.5973174571990967
power-plant,1,1.7653706073760986,3.3696665123992844,2.5740411281585693
power-plant,2,1.8145391941070557,3.63155784680822,2.5957703590393066
power-plant,3,1.8808497190475464,3.8732748806121737,2.627141237258911
power-plant,4,1.970969557762146,3.846806869089444,2.628674030303955
