dataset,split,crps,rmse,nll
kin8nm,0,0.03782498091459274,0.0679172660697823,-1.2867130041122437
kin8nm,1,0.03844691812992096,0.06970164404050237,-1.266166090965271
kin8nm,2,0.037010058760643005,0.06598093063547848,-1.2926647663116455
kin8nm,3,0.03645681217312813,0.06520530672648887,-1.3101829290390015
kin8nm,4,0.03609014302492142,0.06506353739723096,-1.3220832347869873
kin8nm,5,0.037382274866104126,0.0673476244781067,-1.2836723327636719
kin8nm,6,0.03643109276890755,0.06559476382929148,-1.2984740734100342
kin8nm,7,0.03664236143231392,0.06427433763798525,-1.2927942276000977
kin8nm,8,0.03650430962443352,0.06568343152591342,-1.31974196434021
kin8nm,9,0.03678908199071884,0.06546414236752232,-1.3061660528182983
kin8nm,10,0.03700556606054306,0.0663466606930124,-1.3002345561981201
kin8nm,11,0.036845285445451736,0.06601714691123302,-1.2974523305892944
kin8nm,12,0.03735516592860222,0.06629789150878357,-1.2681636810302734
kin8nm,13,0.03563166782259941,0.06352597660788421,-1.3285011053085327
kin8nm,14,0.036854006350040436,0.06628693000609358,-1.3047035932540894
kin8nm,15,0.03556404635310173,0.06398700737807339,-1.3487671613693237
kin8nm,16,0.03544984757900238,0.06319652186323699,-1.3337948322296143
kin8nm,17,0.03641819581389427,0.06415071127595523,-1.3012498617172241
kin8nm,18,0.037465259432792664,0.0677463187287827,-1.2864059209823608
kin8nm,19,0.03520489111542702,0.06278865066678994,-1.33544921875
bostonHousing,0,1.1792678833007812,2.22158664382777,2.2233529090881348
bostonHousing,1,1.3836873769760132,2.597910841318639,2.328228235244751
bostonHousing,2,1.409719467163086,2.617867907998421,2.3000736236572266
bostonHousing,3,1.344862461090088,2.4165020809910516,2.363915205001831
bostonHousing,4,1.668694019317627,3.678834852820742,2.3898022174835205
bostonHousing,5,1.3644965887069702,2.4199140916503663,2.3420491218566895
bostonHousing,6,1.3003144264221191,2.294632835854005,2.4028444290161133
bostonHousing,7,1.4648529291152954,3.2827299141243578,2.455873727798462
bostonHousing,8,1.8296210765838623,3.1356777112064833,2.775560140609741
bostonHousing,9,1.7648495435714722,4.332211544870222,2.4122066497802734
bostonHousing,10,1.9008508920669556,3.679305848498387,2.583474636077881
bostonHousing,11,1.2482012510299683,2.6949629847261707,2.1814653873443604
bostonHousing,12,1.3457494974136353,2.485669644429403,2.2437844276428223
bostonHousing,13,1.943551778793335,4.397378851700278,2.5152454376220703
bostonHousing,14,1.2449661493301392,2.3195429595106933,2.1845638751983643
bostonHousing,15,1.2305127382278442,2.2364834527457425,2.222842216491699
bostonHousing,16,1.874477505683899,3.5577073903864482,2.845975875854492
bostonHousing,17,1.4686602354049683,3.0658605393694596,2.327434539794922
bostonHousing,18,1.3502482175827026,2.5012214537768824,2.3046107292175293
bostonHousing,19,2.255363941192627,5.600990255539762,2.510202646255493
wine-quality-red,0,0.3316120505332947,0.657271770492547,-0.12239110469818115
wine-quality-red,1,0.3130926787853241,0.6209987591732609,-0.48576441407203674
wine-quality-red,2,0.3467300832271576,0.7060063769009294,-0.24329827725887299
wine-quality-red,3,0.30858054757118225,0.6342785184054991,-0.43605533242225647
wine-quality-red,4,0.26749831438064575,0.573233063347385,-0.6029725670814514
wine-quality-red,5,0.3275385797023773,0.6422989073411324,-0.277475506067276
wine-quality-red,6,0.3459254205226898,0.6937286468175204,-0.2883327901363373
wine-quality-red,7,0.35806629061698914,0.6889649518916574,-0.13134127855300903
wine-quality-red,8,0.2900274395942688,0.5972777520714352,-0.5693541169166565
wine-quality-red,9,0.32436490058898926,0.637822347375266,-0.2648095190525055
wine-quality-red,10,0.34374547004699707,0.6878276174392677,-0.3323700428009033
wine-quality-red,11,0.33304092288017273,0.6568045316839525,-0.3555365204811096
wine-quality-red,12,0.31894275546073914,0.6568264699951769,-0.3978946805000305
wine-quality-red,13,0.30259934067726135,0.6321280510217571,-0.5604024529457092
wine-quality-red,14,0.3242412507534027,0.6253304799863072,-0.33917534351348877
wine-quality-red,15,0.28295883536338806,0.5769592594758135,-0.46651920676231384
wine-quality-red,16,0.2929432988166809,0.6004146672872291,-0.2841573655605316
wine-quality-red,17,0.3028946816921234,0.6155980080046223,-0.3785170018672943
wine-quality-red,18,0.3172651529312134,0.6353192072268956,-0.4394094944000244
wine-quality-red,19,0.3419466018676758,0.6720417614176633,-0.22735610604286194
power-plant,0,1.9378384351730347,3.850747043413576,2.625697374343872
power-plant,1,1.895337462425232,3.532596297736723,2.5984690189361572
power-plant,2,1.8965141773223877,3.738830589821144,2.58766508102417
power-plant,3,2.033782958984375,4.0666077020674924,2.6356301307678223
power-plant,4,2.0193564891815186,3.8815825143299167,2.6495676040649414
power-plant,5,2.0273027420043945,3.9173528732979297,2.6404495239257812
power-plant,6,1.9925310611724854,3.7108828891952084,2.6566946506500244
power-plant,7,1.9890296459197998,3.6342725875476907,2.6583945751190186
power-plant,8,2.012605667114258,4.039315132784686,2.647709846496582
power-plant,9,1.9156453609466553,3.612189974565778,2.6133735179901123
power-plant,10,1.9049232006072998,3.547046001866267,2.6171579360961914
power-plant,11,1.9913570880889893,3.907707735813306,2.6532084941864014
power-plant,12,1.850869059562683,3.502333408181321,2.5704050064086914
