dataset,split,crps,rmse,nll
kin8nm,0,0.03854917362332344,0.06791682726503664,-1.2766181230545044
kin8nm,1,0.037772294133901596,0.06727001174773758,-1.2840927839279175
kin8nm,2,0.037619415670633316,0.06726932990053605,-1.2888890504837036
kin8nm,3,0.036723792552948,0.06501645577382852,-1.3242870569229126
kin8nm,4,0.0376749262213707,0.06742046175146328,-1.2881797552108765
kin8nm,5,0.038238655775785446,0.06854207623872935,-1.2885339260101318
kin8nm,6,0.03734288364648819,0.06748034495164305,-1.2970366477966309
kin8nm,7,0.03620724380016327,0.06452902385367917,-1.3452951908111572
kin8nm,8,0.038083266466856,0.06841991332500745,-1.2980676889419556
kin8nm,9,0.03832145035266876,0.06745836610868866,-1.2798396348953247
kin8nm,10,0.03819623962044716,0.06806321704458772,-1.2891770601272583
kin8nm,11,0.03769012168049812,0.06702745763125523,-1.280280351638794
kin8nm,12,0.03981085121631622,0.07106626655348075,-1.2197070121765137
kin8nm,13,0.03670337796211243,0.06521284410507644,-1.3138447999954224
kin8nm,14,0.038385871797800064,0.06863069504981684,-1.2807965278625488
kin8nm,15,0.03688029572367668,0.06528320925932965,-1.3265272378921509
kin8nm,16,0.03787533566355705,0.06790478988237197,-1.2771700620651245
kin8nm,17,0.03762774169445038,0.06687910709626113,-1.3034969568252563
kin8nm,18,0.03875590115785599,0.06890469751533777,-1.271776556968689
kin8nm,19,0.03683997318148613,0.06635234552296666,-1.3107348680496216
bostonHousing,0,1.2514210939407349,2.4530127432826916,2.1375980377197266
bostonHousing,1,1.4183505773544312,2.6362885752967165,2.3615806102752686
bostonHousing,2,1.3210339546203613,2.322294268740243,2.3116438388824463
bostonHousing,3,1.34880793094635,2.45715603413011,2.3328070640563965
bostonHousing,4,1.6689344644546509,3.6960790375437074,2.3699777126312256
bostonHousing,5,1.4583842754364014,2.7351971071619054,2.3195176124572754
bostonHousing,6,1.173534870147705,2.0949456516035463,2.2052597999572754
bostonHousing,7,1.4440844058990479,2.9959478031903224,2.354815721511841
bostonHousing,8,1.9346939325332642,3.0930105539432287,3.142620086669922
bostonHousing,9,1.9251798391342163,4.5031320480513894,2.5462892055511475
bostonHousing,10,1.9173781871795654,3.5826580535033647,2.6390364170074463
bostonHousing,11,1.2620402574539185,3.295439204117513,2.0854954719543457
bostonHousing,12,1.2549630403518677,2.283367689482159,2.2313930988311768
bostonHousing,13,1.5591093301773071,2.989337091351114,2.339698314666748
bostonHousing,14,1.3242079019546509,2.3353251289262036,2.2872068881988525
bostonHousing,15,1.2267009019851685,2.1993538254338896,2.1883299350738525
bostonHousing,16,2.0834639072418213,4.179641409646576,2.6845126152038574
bostonHousing,17,1.6479257345199585,3.309456632794227,2.487196207046509
bostonHousing,18,1.2694878578186035,2.313534170313517,2.2117443084716797
bostonHousing,19,2.8239614963531494,6.844878639276652,2.8370184898376465
wine-quality-red,0,0.3337116539478302,0.6543802919875199,0.13764908909797668
wine-quality-red,1,0.33225613832473755,0.641733396969985,0.2083224058151245
wine-quality-red,2,0.35784193873405457,0.72150647223009,0.3297482132911682
wine-quality-red,3,0.32578524947166443,0.6607315671531264,0.14034618437290192
wine-quality-red,4,0.2713029086589813,0.5740143548403293,-0.0581497848033905
wine-quality-red,5,0.32526594400405884,0.6508566072025317,0.20362882316112518
wine-quality-red,6,0.32126474380493164,0.6476342154920154,0.16551510989665985
wine-quality-red,7,0.357611745595932,0.7020282669054946,0.3203284740447998
wine-quality-red,8,0.29464322328567505,0.5931861860754887,0.02755352295935154
wine-quality-red,9,0.3232252299785614,0.6491158854937175,0.18528421223163605
wine-quality-red,10,0.3280724585056305,0.6539134937828575,0.1937302201986313
wine-quality-red,11,0.32819557189941406,0.6538938960978682,0.08227553963661194
wine-quality-red,12,0.358737975358963,0.7053231740743003,0.2418590784072876
wine-quality-red,13,0.30044832825660706,0.6284753496105111,0.008588648401200771
wine-quality-red,14,0.31787964701652527,0.6321689017290102,0.1552637815475464
wine-quality-red,15,0.28839755058288574,0.5910269635935105,0.02648828737437725
wine-quality-red,16,0.2993104159832001,0.6099336459857688,0.04867270216345787
wine-quality-red,17,0.30019113421440125,0.6086445612134886,0.08604594320058823
wine-quality-red,18,0.3196668326854706,0.6381386914031412,0.18008866906166077
wine-quality-red,19,0.35059720277786255,0.6852585493248223,0.23790228366851807
power-plant,0,1.9886174201965332,3.974127422983426,2.6415488719940186
power-plant,1,1.844929814338684,3.4927362271196327,2.600062131881714
power-plant,2,1.8653481006622314,3.7054889071175863,2.5912413597106934
power-plant,3,1.9231451749801636,3.928211336848592,2.631953716278076
power-plant,4,2.0182554721832275,3.8978308930059025,2.656191825866699
power-plant,5,1.904592752456665,3.7243210551424464,2.6045749187469482
power-plant,6,1.8802387714385986,3.566669634048321,2.602708101272583
power-plant,7,1.8822526931762695,3.480996037367812,2.618499517440796
power-plant,8,2.0135741233825684,4.0519805869026255,2.65913462638855
power-plant,9,1.9184774160385132,3.61547257243048,2.6223442554473877
power-plant,10,1.8251363039016724,3.495857784896531,2.598633289337158
power-plant,11,2.021243095397949,3.980716356956192,2.6686666011810303
power-plant,12,1.9382926225662231,3.626975606377216,2.6268041133880615
power-plant,13,1.9706189632415771,3.7811945130872044,2.6409409046173096
power-plant,14,1.9109082221984863,3.6574287796647953,2.616626262664795
power-plant,15,1.8344770669937134,3.4187294075466,2.6052021980285645
power-plant,16,1.8495047092437744,3.5394742275678723,2.592651844024658
power-plant,17,1.8535979986190796,3.551423773214845,2.568692922592163
power-plant,18,1.9060250520706177,3.7914785960298962,2.6203267574310303
power-plant,19,1.8981354236602783,3.9133116102725882,2.612027645111084
concrete,0,2.8838109970092773,5.515320161603073,3.1073012351989746
concrete,1,2.754258155822754,5.763136411927991,2.909942388534546
concrete,2,2.201054573059082,4.38910993724921,2.7751646041870117
concrete,3,2.7133290767669678,5.165334940091975,3.049447774887085
concrete,4,3.2830371856689453,6.443700970408615,3.125864028930664
concrete,5,2.220505475997925,4.514248859365446,2.6788716316223145
